momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【狂降！AMD&微星裝機組合】R3-4100四核處理器+MEG B550 UNIFY-X主機板,"11,299",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10990659&Area=search&mdiv=403&oid=1_1&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i1.momoshop.com.tw/1692459594/goodsimg/0010/990/659/10990659_OR_m.webp,【C+M套餐】ASUS TUF GAMING B650M-PLUS WIFI主機板 + AMD R7-7700X 處理器,16200,https://24h.pchome.com.tw/prod/DRAI54-1900HAAOV,https://img.pchome.com.tw/cs/items/DRAI541900HAAOV/000001_1714123810.jpg?width=320
【GIGABYTE 技嘉】GB-BER3H5300迷你桌上型電腦主機(R3-5300U/8G/250G SSD/W11H),"9,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12292704&Area=search&mdiv=403&oid=1_2&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i3.momoshop.com.tw/1704358962/goodsimg/0012/292/704/12292704_OR_m.webp,【C+M套餐】ASUS PRIME B550M-K/CSM 主機板 + AMD R5-5600GT 處理器,7446,https://24h.pchome.com.tw/prod/DRAI5M-1900HAWH0,https://img.pchome.com.tw/cs/items/DRAI5M1900HAWH0/000001_1710239240.jpg?width=320
【AMD超值裝機組】R7-7700X八核心處理器+微星PRO B650M-A WIFI 主機板,"14,975",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11066940&Area=search&mdiv=403&oid=1_3&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692467995/goodsimg/0011/066/940/11066940_OR_m.webp,【C+M套餐】微星 B650M GAMING PLUS WIFI 主機板 + AMD R5-8600G 處理器,12000,https://24h.pchome.com.tw/prod/DRAI5E-1900HMI6N,https://img.pchome.com.tw/cs/items/DRAI5E1900HMI6N/000001_1720079232.jpg?width=320
【AMD 超微】U+板組合 Ryzen 5-8600G 六核心處理器+微星B650 GAMING PLUS WIFI 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,【C+M套餐】ASUS PRIME-A620M-K-CSM 主機板 + AMD R5-8500G 處理器,7472,https://24h.pchome.com.tw/prod/DRAI6V-1900HCIH9,https://img.pchome.com.tw/cs/items/DRAI6V1900HCIH9/000001_1711619542.jpg?width=320
【KORG】Microkey2 迷你主控鍵盤25鍵 / USB傳輸 / 公司貨(microkey2-25),"3,250",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=4380742&Area=search&mdiv=403&oid=1_5&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692549170/goodsimg/0004/380/742/4380742_OR_m.webp,【C+M套餐】ASUS TUF GAMING B650-E WIFI 主機板 + AMD R7-7700X 處理器,16553,https://24h.pchome.com.tw/prod/DRAI54-1900HAAPB,https://img.pchome.com.tw/cs/items/DRAI541900HAAPB/000001_1714123832.jpg?width=320
【MSI 微星】U+板組合 R5-7600X六核心處理器 ★ PRO B650M-A WIFI主機板,"11,519",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11066828&Area=search&mdiv=403&oid=1_6&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i3.momoshop.com.tw/1692467715/goodsimg/0011/066/828/11066828_OR_m.webp,【C+M套餐】ASUS ROG STRIX B650-A GAMING WIFI主機板 + AMD R5-7600X處理器,13579,https://24h.pchome.com.tw/prod/DRAI4Q-1900FZ0W1,https://img.pchome.com.tw/cs/items/DRAI4Q1900FZ0W1/000001_1706076767.jpg?width=320
【MSI 微星】U+板組合 R5-7600X六核處理器 ★ PRO B650M-A WIFI主機板,"11,519",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10897014&Area=search&mdiv=403&oid=1_7&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i1.momoshop.com.tw/1692386358/goodsimg/0010/897/014/10897014_OR_m.webp,【C+M套餐】ASUS TUF GAMING B650M-PLUS WIFI主機板 + AMD R5-8500G 處理器,10200,https://24h.pchome.com.tw/prod/DRAI55-1900HAH8E,https://img.pchome.com.tw/cs/items/DRAI551900HAH8E/000001_1709806151.jpg?width=320
【Noctua 貓頭鷹】Noctua NH-L9i-17xx(支援1700腳位 下吹式散熱器超迷你主機專用),"1,645",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11765033&Area=search&mdiv=403&oid=1_8&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i1.momoshop.com.tw/1692770028/goodsimg/0011/765/033/11765033_OR_m.webp,【C+M套餐】ASUS TUF GAMING B650-E WIFI 主機板 + AMD R5-8500G 處理器,10554,https://24h.pchome.com.tw/prod/DRAI55-1900HAH8K,https://img.pchome.com.tw/cs/items/DRAI551900HAH8K/000001_1724834570.jpg?width=320
【AMD 超微】U+板組合 Ryzen 5-8600G 六核心處理器+微星PRO B650M-A WIFI 主機板,"10,559",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626300&Area=search&mdiv=403&oid=1_9&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i4.momoshop.com.tw/1710148341/goodsimg/0012/626/300/12626300_OR_m.webp,【C+M套餐】微星 B550M PRO-VDH WIFI 主機板 + AMD R5-5600GT 處理器,7405,https://24h.pchome.com.tw/prod/DRAI5P-1900HCCZ7,https://img.pchome.com.tw/cs/items/DRAI5P1900HCCZ7/000001_1711533401.jpg?width=320
【Zuiki 瑞起】預購9月底★DDR 熱舞革命 Mini 復刻版迷你機台 迷你跳舞機(原裝日版),"12,480",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12876105&Area=search&mdiv=403&oid=1_10&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i1.momoshop.com.tw/1716527220/goodsimg/0012/876/105/12876105_OR_m.webp,【C+M套餐】ASUS TUF GAMING B650M-E 主機板 + AMD R5-8500G 處理器,9566,https://24h.pchome.com.tw/prod/DRAI55-1900HAH9Q,https://img.pchome.com.tw/cs/items/DRAI551900HAH9Q/000001_1709806189.jpg?width=320
