momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【HongXin】iPhone 轉 3.5MM音源轉接線(轉接線/音源轉接線),152,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13093937&Area=search&mdiv=403&oid=1_1&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i4.momoshop.com.tw/1722402102/goodsimg/0013/093/937/13093937_OR_m.webp,POLYWELL 寶利威爾 3.5mm AUX音源線轉Lightning /1M,190,https://24h.pchome.com.tw/prod/DCACGD-A900FVXT2,https://img.pchome.com.tw/cs/items/DCACGDA900FVXT2/000001_1723797447.jpg?width=320
【ATake】Lightning 轉 3.5mm音源孔(可線控；可通話；iPhone音源轉接線),279,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9250745&Area=search&mdiv=403&oid=1_2&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i1.momoshop.com.tw/1693067236/goodsimg/0009/250/745/9250745_OR_m.webp,蘋果 Apple Lightning轉3.5mm(公)AUX 耳機音源轉接線音源線/轉接線 iphone 11 xs max xr 8 7 plus ipad ipod,279,https://24h.pchome.com.tw/prod/DCAYBL-A900A9D0I,https://img.pchome.com.tw/cs/items/DCAYBLA900A9D0I/000001_1568788238.jpg?width=320
【聆翔】IPHONE耳機 平果耳機 音源孔版 最高品質(i5 / i6 / 安卓手機可用 耳機 iphone 通用 副廠),299,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8943648&Area=search&mdiv=403&oid=1_3&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i1.momoshop.com.tw/1693075887/goodsimg/0008/943/648/8943648_OR_m.webp,ANKER 美國黑色Premium 3.5mm耳機孔AUX-IN音源線A7123011(長1.2米即120公分)適Apple蘋果iPhone iPod iPad 8 7 6 + 5,550,https://24h.pchome.com.tw/prod/QAAP06-A9008192R,https://img.pchome.com.tw/cs/items/QAAP06A9008192R/000001_1622687480.jpg?width=320
Lightning轉3.5mm 公 AUX 音源轉接線 音源線 耳機轉接器(apple iPhone 11 Pro Xs Max XR 8 7 plus),254,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7620278&Area=search&mdiv=403&oid=1_4&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i3.momoshop.com.tw/1692813452/goodsimg/0007/620/278/7620278_OR_m.webp,WUW 加利王 Type-C 轉接 3.5mm AUX音源線 音頻傳輸線(X211)-10cm 轉接車用音響/喇叭/耳機,199,https://24h.pchome.com.tw/prod/DYAPAI-A900HMLQU,https://img.pchome.com.tw/cs/items/DYAPAIA900HMLQU/000001_1720061819.jpg?width=320
【bono】iPhone 雙 Lightning + 3.5mm 音源轉接線(聽歌/充電/通話/線控/自拍桿 五合一),544,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10073328&Area=search&mdiv=403&oid=1_5&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i4.momoshop.com.tw/1692200565/goodsimg/0010/073/328/10073328_OR_m.webp,Rainbow 【Pacez】Lightning轉3.5MM音源線 Iphone音源轉接線,278,https://24h.pchome.com.tw/prod/DYAPAE-A900FS5VG,https://img.pchome.com.tw/cs/items/DYAPAEA900FS5VG/000001_1669277178.jpg?width=320
【Arum】iPhone Lightning 轉3.5mm耳機音源轉接線 蘋果APPLE轉接頭(iPhone 11 Pro Xs Max XR X 8 7 Plus),176,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7528714&Area=search&mdiv=403&oid=1_6&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i4.momoshop.com.tw/1692806287/goodsimg/0007/528/714/7528714_OR_m.webp,WUW 加利王 iPhone Lightning 轉接 3.5mm,249,https://24h.pchome.com.tw/prod/DCACGD-A900BYUW7,https://img.pchome.com.tw/cs/items/DCACGDA900BYUW7/000001_1636524451.jpg?width=320
【ddHiFi】3.5mm耳機蘋果iphone轉接頭(TC35C-LT),"1,938",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9969774&Area=search&mdiv=403&oid=1_8&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i3.momoshop.com.tw/1693173485/goodsimg/0009/969/774/9969774_OR_m.webp,WUW 加利王 iPhone Lightning 轉接 3.5mm AUX音源線 音頻傳輸線(X209)-11cm 轉接車用音響/喇叭/耳機,239,https://24h.pchome.com.tw/prod/DYAPAE-A900HMLQY,https://img.pchome.com.tw/cs/items/DYAPAEA900HMLQY/000001_1720060600.jpg?width=320
【FJ】AUX音源轉接線Apple蘋果iPhone Lightning轉3.5mm(音源線 音頻線 AUX線),157,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12251967&Area=search&mdiv=403&oid=1_9&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i4.momoshop.com.tw/1703167077/goodsimg/0012/251/967/12251967_OR_m.webp,i-Gear 艾吉爾 APPLE專用 iPhone/iPad/iPod 音源線控器,372,https://24h.pchome.com.tw/prod/DCACH2-A9005RVFN,https://img.pchome.com.tw/cs/items/DCACH2A9005RVFN/000001_1617869298.jpg?width=320
【加利王WUW】iPhone Lightning 轉接 3.5mm 1M AUX音源/音頻傳輸線(R152),199,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9585989&Area=search&mdiv=403&oid=1_10&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i4.momoshop.com.tw/1693151561/goodsimg/0009/585/989/9585989_OR_m.webp,ANKER 【南紡購物中心】 美國黑色Premium 3.5mm耳機孔AUX-IN音源線A7123011(長1.2米即120公分)適Apple蘋果iPhone iPod iPad,550,https://24h.pchome.com.tw/prod/DSBC59-A900BFIZA,https://img.pchome.com.tw/cs/items/DSBC59A900BFIZA/000001_1683110756.jpg?width=320
【加利王WUW】iPhone Lightning 轉接 3.5mm AUX音源線 音頻傳輸線-11cm(X209),179,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13036488&Area=search&mdiv=403&oid=1_11&cid=index&kw=iphone+%E9%9F%B3%E6%BA%90%E7%B7%9A,https://i2.momoshop.com.tw/1720760498/goodsimg/0013/036/488/13036488_OR_m.webp,彈簧式 音源線 AUX線 伸縮式 3.5mm公頭 轉 3.5mm公頭 手機HTC Butterfly iPHONE5 4SSAMSUNG S3 NOTE2轉接 汽車音響 家用音響,236,https://24h.pchome.com.tw/prod/AFAD3R-A75171704,https://img.pchome.com.tw/cs/items/AFAD3RA75171704/000001_1478254167.jpg?width=320
