momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【PAPAGO!】WayGo 660 5吋智慧型區間測速導航機(S1圖像化導航介面/測速語音提醒),"2,880",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10025927&Area=search&mdiv=403&oid=1_1&cid=index&kw=papago_%E5%B0%8E%E8%88%AA%E6%A9%9F,https://i1.momoshop.com.tw/1692197075/goodsimg/0010/025/927/10025927_OR_m.webp,grantclassic 特經典 八力架 軍規級機車手機架 / 導航架,890,https://24h.pchome.com.tw/prod/DEAVIZ-A900HBQEK,https://img.pchome.com.tw/cs/items/DEAVIZA900HBQEK/000001_1725242871.jpg?width=320
【PAPAGO!】WayGo 770 7吋智慧型區間測速衛星導航機(S1圖像化導航介面/測速語音提醒),"3,580",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10025926&Area=search&mdiv=403&oid=1_2&cid=index&kw=papago_%E5%B0%8E%E8%88%AA%E6%A9%9F,https://i3.momoshop.com.tw/1692196987/goodsimg/0010/025/926/10025926_OR_m.webp,grantclassic 特經典 四力架2 PRO 軍規級機車手機架 / 導航架,639,https://24h.pchome.com.tw/prod/DEAVIZ-A900H4NCZ,https://img.pchome.com.tw/cs/items/DEAVIZA900H4NCZ/000001_1710986798.jpg?width=320
【PAPAGO!】WAYGO790 PLUS 7吋多功能WIFI聲控導航平板＋32G,"5,490",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11582103&Area=search&mdiv=403&oid=1_3&cid=index&kw=papago_%E5%B0%8E%E8%88%AA%E6%A9%9F,https://i2.momoshop.com.tw/1692553101/goodsimg/0011/582/103/11582103_OR_m.webp,PAPAGO! WayGo 770 7吋智慧型區間測速衛星導航機,3580,https://24h.pchome.com.tw/prod/DEBB01-A900EX8QH,https://img.pchome.com.tw/cs/items/DEBB01A900EX8QH/000001_1701937911.jpg?width=320
,,,,Aiptek 天瀚 導航王7吋智能導航機Carking K700,2990,https://24h.pchome.com.tw/prod/DEBB5J-A900FT1T6,https://img.pchome.com.tw/cs/items/DEBB5JA900FT1T6/000001_1725860570.jpg?width=320
,,,,GARMIN ZUMO XT2 6吋 重機專用導航機,19990,https://24h.pchome.com.tw/prod/DXAO5J-A900HBE06,https://img.pchome.com.tw/cs/items/DXAO5JA900HBE06/000001_1723534258.jpg?width=320
,,,,PAPAGO! WayGo 660 5吋智慧型區間測速導航機,2880,https://24h.pchome.com.tw/prod/DEBB01-A900EX8MM,https://img.pchome.com.tw/cs/items/DEBB01A900EX8MM/000001_1672383215.jpg?width=320
,,,,天瀚導航王7吋智能導航機Carking K700,2990,https://24h.pchome.com.tw/prod/DEBB5J-A900FT1SS,https://img.pchome.com.tw/cs/items/DEBB5JA900FT1SS/000001_1725860598.jpg?width=320
,,,,天瀚導航王7吋智能行車記錄器+導航機Carking K800C加贈32G記憶卡,3990,https://24h.pchome.com.tw/prod/DEBB5J-A900GMTX9,https://img.pchome.com.tw/cs/items/DEBB5JA900GMTX9/000001_1725860689.jpg?width=320
,,,,GARMIN ZUMO 396 重機專用導航機,11990,https://24h.pchome.com.tw/prod/DXAO4V-A90099XW1,https://img.pchome.com.tw/cs/items/DXAO4VA90099XW1/000001_1696406657.jpg?width=320
,,,,天瀚導航王7吋智能行車記錄器+導航機Carking K800C行車記錄+衛星導航二合一,3990,https://24h.pchome.com.tw/prod/DEBB5J-A900GMU15,https://img.pchome.com.tw/cs/items/DEBB5JA900GMU15/000001_1725860665.jpg?width=320
,,,,grantclassic 特經典 四力架 【 四力架2 】 機車手機架/導航架 手機支架,480,https://24h.pchome.com.tw/prod/DEAVIZ-A900D7WOC,https://img.pchome.com.tw/cs/items/DEAVIZA900D7WOC/000001_1718592032.jpg?width=320
,,,,QLZHS 機車防水手機架 單手操作導航架 摩托車手機支架 自由調節自行車支架 全包防塵腳踏車導航架 外送神器,499,https://24h.pchome.com.tw/prod/DEAV5W-A900H0FYQ,https://img.pchome.com.tw/cs/items/DEAV5WA900H0FYQ/000001_1702882989.jpg?width=320
,,,,JILEAN 吸盤式車用手機支架 汽車手機支架 導航車架 中控台擋風玻璃導航支架 車用手機架 車載支架 黑色,320,https://24h.pchome.com.tw/prod/DEADCG-A900BQ50O,https://img.pchome.com.tw/cs/items/DEADCGA900BQ50O/000001_1630478371.jpg?width=320
,,,,LUYOO 八爪防震手機導航支架 機車手機架 車把後視鏡手機支架 導航架 騎行代駕外送神器 K03,379,https://24h.pchome.com.tw/prod/DEAV5W-A900H3DQZ,https://img.pchome.com.tw/cs/items/DEAV5WA900H3DQZ/000001_1705567055.jpg?width=320
,,,,Mass 遮陽板手機導航支架 汽車用滑軌式可折疊萬向旋轉手機支架 導航手機架 儀錶臺支架 後視鏡支架,139,https://24h.pchome.com.tw/prod/DEADCG-A900GSTZ8,https://img.pchome.com.tw/cs/items/DEADCGA900GSTZ8/000001_1698989240.jpg?width=320
,,,,防盜救星 機車遮陽擋雨 避震手機架 360度旋轉 導航支架/機車支架,899,https://24h.pchome.com.tw/prod/DEAV5W-A900GN8PY,https://img.pchome.com.tw/cs/items/DEAV5WA900GN8PY/000001_1694156517.jpg?width=320
,,,,Carman 特斯拉Model3/Y 支援MagSafe磁吸手機/螢幕導航支架 圓款,890,https://24h.pchome.com.tw/prod/DEADPF-A900H2KLN,https://img.pchome.com.tw/cs/items/DEADPFA900H2KLN/000001_1704779856.jpg?width=320
,,,,YUNMI 遮陽傘手機導航架,287,https://24h.pchome.com.tw/prod/DEAV5W-A900F7VT6,https://img.pchome.com.tw/cs/items/DEAV5WA900F7VT6/000001_1656038080.jpg?width=320
,,,,Bone 把手適用 / 單車手機綁 2 黑色 _ 手機支架 自行車 導航,290,https://24h.pchome.com.tw/prod/DEAOBG-A900A175Z,https://img.pchome.com.tw/cs/items/DEAOBGA900A175Z/000001_1725601479.jpg?width=320
,,,,grantclassic 特經典 放長架 萬向球關節汽車導航手機架,399,https://24h.pchome.com.tw/prod/DEADI6-A900FOTL5,https://img.pchome.com.tw/cs/items/DEADI6A900FOTL5/000001_1666778906.jpg?width=320
,,,,MUAN 雙球磁吸導航支架 車用手機架 車載支架 導航架 (汽車支架/手機支架/磁吸支架),699,https://24h.pchome.com.tw/prod/DEADCG-A900HSKX6,https://img.pchome.com.tw/cs/items/DEADCGA900HSKX6/000001_1725866277.jpg?width=320
,,,,JASSON [到府安裝] Z1s車用導航8核安卓機 for 本田 HONDA FIT 4代 2021年,15900,https://24h.pchome.com.tw/prod/DXAAE2-A900FWHOM,https://img.pchome.com.tw/cs/items/DXAAE2A900FWHOM/000001_1672739080.jpg?width=320
,,,,grantclassic 特經典 特經典 【 四力架2 PRO 】軍規級機車手機架 / 導航架 兩入組,899,https://24h.pchome.com.tw/prod/DEAVIZ-A900H4OWE,https://img.pchome.com.tw/cs/items/DEAVIZA900H4OWE/000001_1709540847.jpg?width=320
,,,,grantclassic 特經典 【 四力架2 PRO 】軍規級機車手機架 / 導航架,639,https://24h.pchome.com.tw/prod/DEAVIZ-A900H4N87,https://img.pchome.com.tw/cs/items/DEAVIZA900H4N87/000001_1709543389.jpg?width=320
,,,,Bone 把手適用 / 單車手機綁 4 黑色 _ 手機支架 自行車 導航,490,https://24h.pchome.com.tw/prod/DEAO94-A900ASWJK,https://img.pchome.com.tw/cs/items/DEAO94A900ASWJK/000001_1725601688.jpg?width=320
,,,,車用手機架 後照鏡支架(手機支架 汽車導航支架 手機座 手機導航 車載支架),490,https://24h.pchome.com.tw/prod/DEADCG-A900G91OA,https://img.pchome.com.tw/cs/items/DEADCGA900G91OA/000001_1681981833.jpg?width=320
,,,,LUYOO 鋁合金四爪自行車手機支架 導航車架 機車手機架 騎行手機架,399,https://24h.pchome.com.tw/prod/DEAV5W-A900HAQ11,https://img.pchome.com.tw/cs/items/DEAV5WA900HAQ11/000001_1710138735.jpg?width=320
,,,,MUAN 騎行防震手機支架 機車導航支架 摩托車手機架 導航架 單車支架,599,https://24h.pchome.com.tw/prod/DEAV5W-A900HOMYZ,https://img.pchome.com.tw/cs/items/DEAV5WA900HOMYZ/000001_1721810652.jpg?width=320
,,,,LUYOO 自行車導航手機架 減震防滑矽膠綁帶 騎行GPS手機支架 手機座,339,https://24h.pchome.com.tw/prod/DEAV5W-A900HGFL1,https://img.pchome.com.tw/cs/items/DEAV5WA900HGFL1/000001_1715135584.jpg?width=320
,,,,Bone 把手適用 / 單車手機綁 4 夜光綠 _ 手機支架 自行車 導航,490,https://24h.pchome.com.tw/prod/DEAO94-A900AT9NQ,https://img.pchome.com.tw/cs/items/DEAO94A900AT9NQ/000001_1725601759.jpg?width=320
,,,,JASSON [到府安裝] Z3s車用導航8核安卓機 for 鈴木 Swift 2005-2010年,19500,https://24h.pchome.com.tw/prod/DXAAE2-A900FW4A6,https://img.pchome.com.tw/cs/items/DXAAE2A900FW4A6/000001_1672394718.jpg?width=320
,,,,JASSON [到府安裝] Z3s車用導航8核安卓機 for 豐田TOYOTA CAMRY 2018年,19500,https://24h.pchome.com.tw/prod/DXAAE2-A900FW4K0,https://img.pchome.com.tw/cs/items/DXAAE2A900FW4K0/000001_1672400246.jpg?width=320
,,,,Bone 龍頭適用 / 單車手機雙用綁Pro 4 紅色 _ 手機支架 自行車 導航,650,https://24h.pchome.com.tw/prod/DEAO94-A900AT9NW,https://img.pchome.com.tw/cs/items/DEAO94A900AT9NW/000001_1725601823.jpg?width=320
