momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【GIGABYTE 技嘉】GeForce RTX 3060 WINDFORCE OC 12G顯示卡(rev. 2.0),"9,090",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11558600&Area=search&mdiv=403&oid=1_1&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i4.momoshop.com.tw/1692550653/goodsimg/0011/558/600/11558600_OR_m.webp,MSI 微星 GeForce RTX 3060 Ti SUPER 3X 8GD6X OC,11490,https://24h.pchome.com.tw/prod/DRADHV-A900GO67P,https://img.pchome.com.tw/cs/items/DRADHVA900GO67P/000001_1695361626.jpg?width=320
【MSI 微星】GeForce RTX 3050 VENTUS 2X 6G OC 顯示卡,"5,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12541809&Area=search&mdiv=403&oid=1_2&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i4.momoshop.com.tw/1708232586/goodsimg/0012/541/809/12541809_OR_m.webp,NVIDIA 輝達 RTX4070 SUPER Founders Edition 創始版 顯示卡,21990,https://24h.pchome.com.tw/prod/DRADD4-A900HO1WP,https://img.pchome.com.tw/cs/items/DRADD4A900HO1WP/000001_1723173900.jpg?width=320
【ASUS 華碩】DUAL-RTX4060-O8G-WHITE 顯示卡+華碩 SDRW-08D2S-U 白 外接燒錄器,"10,550",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12070427&Area=search&mdiv=403&oid=1_3&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i2.momoshop.com.tw/1699347958/goodsimg/0012/070/427/12070427_OR_m.webp,ASUS 華碩 TUF Gaming GeForce RTX 4080 SUPER 16GB顯示卡,36490,https://24h.pchome.com.tw/prod/DRADKY-1900HPF8H,https://img.pchome.com.tw/cs/items/DRADKY1900HPF8H/000001_1727167294.jpg?width=320
【MSI 微星】GeForce RTX 3050 GAMING X 6G 顯示卡,"6,190",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12541810&Area=search&mdiv=403&oid=1_4&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i1.momoshop.com.tw/1708232593/goodsimg/0012/541/810/12541810_OR_m.webp,GIGABYTE 技嘉 GeForce RTX 4060 WINDFORCE OC 8G 顯示卡,9990,https://24h.pchome.com.tw/prod/DRADL2-A900GLA2X,https://img.pchome.com.tw/cs/items/DRADL2A900GLA2X/000001_1727167523.jpg?width=320
【ASUS 華碩】PROART-RTX4060-8G 顯示卡,"10,890",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12933036&Area=search&mdiv=403&oid=1_5&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i1.momoshop.com.tw/1722402287/goodsimg/0012/933/036/12933036_OR_m.webp,GIGABYTE 技嘉 GeForce RTX 3060 WINDFORCE OC 12G 顯示卡,8990,https://24h.pchome.com.tw/prod/DRADL2-A900HD0U4,https://img.pchome.com.tw/cs/items/DRADL2A900HD0U4/000001_1724053664.jpg?width=320
【NVIDIA】RTX4080 SUPER Founders Edition 創始版 顯示卡,"36,490",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13061010&Area=search&mdiv=403&oid=1_6&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i1.momoshop.com.tw/1721365601/goodsimg/0013/061/010/13061010_OR_m.webp,GIGABYTE 技嘉 GeForce RTX 4070 SUPER WINDFORCE OC 12G 顯示卡,21990,https://24h.pchome.com.tw/prod/DRADL2-A900H5614,https://img.pchome.com.tw/cs/items/DRADL2A900H5614/000001_1727056508.jpg?width=320
【GIGABYTE 技嘉】GeForce RTX4060 GAMING 8G 顯示卡,"10,809",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12794047&Area=search&mdiv=403&oid=1_7&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i3.momoshop.com.tw/1714420805/goodsimg/0012/794/047/12794047_OR_m.webp,ASUS 華碩 PRIME GeForce RTX 4070 SUPER 12GB OC 顯示卡,21990,https://24h.pchome.com.tw/prod/DRADKY-A900HRB8E,https://img.pchome.com.tw/cs/items/DRADKYA900HRB8E/000001_1727056463.jpg?width=320
【GIGABYTE 技嘉】RTX4060+ 650W電源組合★GeForce RTX 4060 D6 8G顯示卡GP-P650G金牌電源供應器,"11,327",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12975210&Area=search&mdiv=403&oid=1_8&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i2.momoshop.com.tw/1722803463/goodsimg/0012/975/210/12975210_OR_m.webp,GIGABYTE 技嘉 GeForce RTX 4060 Ti WINDFORCE OC 16G 顯示卡,14990,https://24h.pchome.com.tw/prod/DRADL2-A900HLY1U,https://img.pchome.com.tw/cs/items/DRADL2A900HLY1U/000001_1726709363.jpg?width=320
【MSI 微星】GeForce RTX 4060 GAMING X 8G 顯示卡,"11,690",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11605636&Area=search&mdiv=403&oid=1_9&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i4.momoshop.com.tw/1692555713/goodsimg/0011/605/636/11605636_OR_m.webp,ASUS 華碩 Dual GeForce RTX 4060 EVO OC 8GB 顯示卡,10490,https://24h.pchome.com.tw/prod/DRADOG-A900HRB60,https://img.pchome.com.tw/cs/items/DRADOGA900HRB60/000001_1726800585.jpg?width=320
【MSI 微星】GeForce RTX 4060 Ti VENTUS 2X BLACK 8G OC 顯示卡,"12,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11418535&Area=search&mdiv=403&oid=1_10&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i2.momoshop.com.tw/1692473442/goodsimg/0011/418/535/11418535_OR_m.webp,ZOTAC GAMING GeForce RTX 4060 8GB SOLO 顯示卡,8990,https://24h.pchome.com.tw/prod/DRADLX-A900GI9BI,https://img.pchome.com.tw/cs/items/DRADLXA900GI9BI/000001_1689822484.jpg?width=320
【ASUS 華碩】PROART-RTX4060-O8G 顯示卡,"11,390",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11704002&Area=search&mdiv=403&oid=1_11&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i3.momoshop.com.tw/1692566998/goodsimg/0011/704/002/11704002_OR_m.webp,ASUS 華碩 ProArt GeForce RTX 4070 OC 超頻版 12GB GDDR6X 顯示卡,19990,https://24h.pchome.com.tw/prod/DRADKY-A900HNFIP,https://img.pchome.com.tw/cs/items/DRADKYA900HNFIP/000001_1722221568.jpg?width=320
【Inno3D 映眾】GEFORCE RTX 3060 12GB GDDR6 TWIN X2 OC LHR 顯示卡(鎖算力),"8,888",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9958698&Area=search&mdiv=403&oid=1_12&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i1.momoshop.com.tw/1693172442/goodsimg/0009/958/698/9958698_OR_m.webp,MSI 微星 GeForce RTX 4060 VENTUS 2X BLACK 8G OC 顯示卡,9990,https://24h.pchome.com.tw/prod/DRADLA-A900GG2B4,https://img.pchome.com.tw/cs/items/DRADLAA900GG2B4/000001_1721620031.jpg?width=320
