momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【FlashFire】Gaming Supply Choco Switch副廠 迷你巧克力底座,450,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7631186&Area=search&mdiv=403&oid=1_1&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i4.momoshop.com.tw/1692814042/goodsimg/0007/631/186/7631186_OR_m.webp,掌機10合一專用基座 Steam Deck/Rog Ally/SWITCH 通用主機擴展底座 基座 螢幕擴展底座,1200,https://24h.pchome.com.tw/prod/DGBJND-A900GLCYZ,https://img.pchome.com.tw/cs/items/DGBJNDA900GLCYZ/000001_1692438239.jpg?width=320
【HAGiBiS海備思】Switch便攜底座 視訊採集卡/HDMI/PD100W,"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12552346&Area=search&mdiv=403&oid=1_2&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1717650380/goodsimg/0012/552/346/12552346_OR_m.webp,Nintendo 任天堂 SWITCH 續航加強版主機(日本公司貨)+玻璃貼+mini底座充電+健身環大冒險(中文版)+健身環包DXP,9980,https://24h.pchome.com.tw/prod/DGBJDE-A900BLIY5,https://img.pchome.com.tw/cs/items/DGBJDEA900BLIY5/000001_1699941315.jpg?width=320
【綠聯UGREEN】大號Switch可放底座收納包(任天堂nintendo NS硬殼保護包 NX交換機包),690,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12951430&Area=search&mdiv=403&oid=1_3&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1718427721/goodsimg/0012/951/430/12951430_OR_m.webp,FlashFire Gaming Supply Choco Switch迷你巧克力底座,450,https://24h.pchome.com.tw/prod/DGBJC0-A900AMRH7,https://img.pchome.com.tw/cs/items/DGBJC0A900AMRH7/000001_1588061035.jpg?width=320
【Nintendo 任天堂】NS Switch 原廠 多角度摺疊充電底座(台灣公司貨),590,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10719729&Area=search&mdiv=403&oid=1_4&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i1.momoshop.com.tw/1692401853/goodsimg/0010/719/729/10719729_OR_m.webp,Steam Deck WIN掌機 Dock 擴充基座 Type-C 螢幕傳輸底座 Switch 平板電腦 電視螢幕 掌上遊戲機皆適用,1450,https://24h.pchome.com.tw/prod/DGBJNC-A900FYOB9,https://img.pchome.com.tw/cs/items/DGBJNCA900FYOB9/000001_1685594667.jpg?width=320
【良值】SWITCH / OLED 20W 小磚塊 電視轉換充電器 底座 豆腐頭 轉接 STEAM DECK / ANDROID / IPAD,636,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12854437&Area=search&mdiv=403&oid=1_5&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1716008549/goodsimg/0012/854/437/12854437_OR_m.webp,HAGiBiS 海備思 Switch便攜底座NS視訊採集卡+HDMI轉換器+PD供電(黑白色SWC05-WH,1668,https://24h.pchome.com.tw/prod/DCAD0A-A900FX4IE,https://img.pchome.com.tw/cs/items/DCAD0AA900FX4IE/000001_1673134735.jpg?width=320
【Bteam】Switch 副廠 電視 轉換 Vportal 取代底座,949,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10940944&Area=search&mdiv=403&oid=1_6&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i4.momoshop.com.tw/1692391818/goodsimg/0010/940/944/10940944_OR_m.webp,FlashFire BAT Switch轉接充電底座 視訊轉換 NS充電 支架 Oled也適用,1290,https://24h.pchome.com.tw/prod/DGBJC0-A900AMRFV,https://img.pchome.com.tw/cs/items/DGBJC0A900AMRFV/000001_1605780533.jpg?width=320
【Brook】Switch HDMI Cable 多功能高畫質輸出快充組(化繁為簡 輕裝帶著走！向傳統底座與雜亂線材說再見),880,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11126510&Area=search&mdiv=403&oid=1_7&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1702016424/goodsimg/0011/126/510/11126510_OR_m.webp,Nintendo 任天堂 Dock for Switch 65W 電源供應器/底座 二合一裝置 影像轉接充電器,1273,https://24h.pchome.com.tw/prod/DGBJC0-A900C2AN2,https://img.pchome.com.tw/cs/items/DGBJC0A900C2AN2/000001_1664525380.jpg?width=320
【GAME’NIR】Switch副廠 4K HDMI 2.0 強化傳輸線(可接 TV 底座 台灣公司貨),259,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8502100&Area=search&mdiv=403&oid=1_8&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i1.momoshop.com.tw/1692979400/goodsimg/0008/502/100/8502100_OR_m.webp,HAGiBiS 海備思 Switch便攜底座NS視訊採集卡+HDMI轉換器+PD供電(黑白色SWC06-WH,1968,https://24h.pchome.com.tw/prod/DCAD0A-A900GBRWC,https://img.pchome.com.tw/cs/items/DCAD0AA900GBRWC/000001_1684135894.jpg?width=320
【LOTUS】SWITCH OLED 主機底座散熱風扇 副廠,533,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9770568&Area=search&mdiv=403&oid=1_9&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i4.momoshop.com.tw/1693153667/goodsimg/0009/770/568/9770568_OR_m.webp,HAGiBiS 海備思 switch便攜底座擴充器HDMI+USB3.0+RJ45網口+PD供電(白色SWC04,1186,https://24h.pchome.com.tw/prod/DGAXDM-A900F69ZN,https://img.pchome.com.tw/cs/items/DGAXDMA900F69ZN/000001_1655094076.jpg?width=320
NS SWITCH 主機 底座 手把 充電線 配件 大容量收納包,334,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11542706&Area=search&mdiv=403&oid=1_10&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i3.momoshop.com.tw/1692548846/goodsimg/0011/542/706/11542706_OR_m.webp,ESOON SWITCH / OLED 主機 副廠 氮化鎵GaN 視訊轉換充電器 底座 手機/筆電/電視轉接,849,https://24h.pchome.com.tw/prod/DGBJC0-A900HBWLU,https://img.pchome.com.tw/cs/items/DGBJC0A900HBWLU/000001_1714027359.jpg?width=320
