momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【Pavaruni】美國大豆蠟燭20種香味禮盒瑞士香料植物香氛精油花香木質果香(生日聖誕交換女友女生情人禮物),347,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12884977&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i1.momoshop.com.tw/1719224668/goodsimg/0012/884/977/12884977_OR_m.webp,JINGQU 家用久坐護腰減壓矯姿折疊背靠坐墊 辦公室舒適椅背墊 防駝背矯正椅,599,https://24h.pchome.com.tw/prod/DEATYG-A900GRA8V,https://img.pchome.com.tw/cs/items/DEATYGA900GRA8V/000001_1709519968.jpg?width=320
【Pavaruni】美國香氛蠟燭二入組20種香味禮盒瑞士香料植物天然精油花香木質果香(生日聖誕女友女生情人禮物),694,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12985539&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i4.momoshop.com.tw/1719464767/goodsimg/0012/985/539/12985539_OR_m.webp,水豚LED拍拍燈/小夜燈/床頭燈,569,https://24h.pchome.com.tw/prod/DEAZSE-A900HFLAT,https://img.pchome.com.tw/cs/items/DEAZSEA900HFLAT/000001_1714382784.jpg?width=320
【Pavaruni】美國香氛蠟燭20種香味禮盒瑞士香料植物天然精油花香木質果香(生日聖誕交換女友女生情人禮物),347,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12884979&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i3.momoshop.com.tw/1719224668/goodsimg/0012/884/979/12884979_OR_m.webp,特惠 過節送禮交換禮物宇宙星空投影燈 可旋轉LED小夜燈 滿天星光USB燈 5款膠片 三種燈光,509,https://24h.pchome.com.tw/prod/DEBD5Y-A900ASRSD,https://img.pchome.com.tw/cs/items/DEBD5YA900ASRSD/000001_1639361595.jpg?width=320
【Pavaruni】美國芳香蠟燭20種香味禮盒瑞士香料植物香氛精油花香木質果香(生日聖誕交換女友女生情人禮物),347,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12884976&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i4.momoshop.com.tw/1719224668/goodsimg/0012/884/976/12884976_OR_m.webp,宇宙星空投影小夜燈 星空投影燈 造型小夜燈 太空人氛圍燈 星星小夜燈 LED小夜燈 滿天星光睡眠燈 聖誕禮物,664,https://24h.pchome.com.tw/prod/DEBD2R-A900BZV01,https://img.pchome.com.tw/cs/items/DEBD2RA900BZV01/000001_1637228302.jpg?width=320
【gin gin】香氛蠟燭融蠟燈 薰香燈 可定時 調光 贈蠟燭+燈泡X2(蠟燭燈 小夜燈 聖誕禮物 交換禮物 情人節),569,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10449885&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i4.momoshop.com.tw/1726117434/goodsimg/0010/449/885/10449885_OR_m.webp,HOME Sense 三合苑 100%純棉抗菌長抱枕 41x111cm 可水洗 台灣製 交換禮物 北歐 幾何(多色任選),594,https://24h.pchome.com.tw/prod/DEATYG-A900HRCP0,https://img.pchome.com.tw/cs/items/DEATYGA900HRCP0/000001_1724664710.jpg?width=320
【COACH】MICHAEL KORS 斜背包/肩背包/兩用包/禮盒組(多款多色任選/交換禮物),"2,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10630111&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i1.momoshop.com.tw/1725512633/goodsimg/0010/630/111/10630111_OR_m.webp,ANTIAN 辦公室多功能鏤空午睡枕 午休趴睡枕頭 趴趴枕 天鵝絨防手麻趴睡枕 午睡神器 交換禮物,355,https://24h.pchome.com.tw/prod/DEAZS4-A900AWDRT,https://img.pchome.com.tw/cs/items/DEAZS4A900AWDRT/000001_1700638453.jpg?width=320
【Mustela 慕之恬廊】嬰兒清潔護膚禮盒(雙潔乳+潤膚乳+屁屁膏+免用水潔淨液 彌月禮 新生兒禮物 交換禮物),880,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=4746673&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i2.momoshop.com.tw/1700498972/goodsimg/0004/746/673/4746673_OR_m.webp,半島良品 小兜家族感應式/桌上擺飾小夜燈(交換禮物/百元禮物/聖誕禮物/2款3色),479,https://24h.pchome.com.tw/prod/DEBD2T-A900BY1Q3,https://img.pchome.com.tw/cs/items/DEBD2TA900BY1Q3/000001_1635927831.jpg?width=320
【禮物研所】星空投影小夜燈-禮盒版(星空投影 星空夜燈 星空燈 小夜燈 生日禮物 情人節禮物 交換禮物),467,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7495927&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i4.momoshop.com.tw/1721433003/goodsimg/0007/495/927/7495927_OR_m.webp,半島良品 半島毛絨家族絨家族DIY手工製作小屋燈桌上擺飾.禮物(交換禮物 畢業禮物 聖誕禮物 生日禮物 小夜燈),449,https://24h.pchome.com.tw/prod/DEAZ9Z-A900HBWFE,https://img.pchome.com.tw/cs/items/DEAZ9ZA900HBWFE/000001_1711088174.jpg?width=320
【流行E線】睡衣 大尺碼性感睡衣 細肩帶鏤空情趣內衣褲 女生連身居家睡衣 氣質性感睡衣交換禮物(MA7285),303,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11313039&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i3.momoshop.com.tw/1714963522/goodsimg/0011/313/039/11313039_OR_m.webp,Viita 聖誕禮物/交換禮物創意夢幻星空投影夜燈 暗夜星座,637,https://24h.pchome.com.tw/prod/DEAZSE-A900BYKMJ,https://img.pchome.com.tw/cs/items/DEAZSEA900BYKMJ/000001_1636340815.jpg?width=320
【LANEIGE 蘭芝】睡美人極萃滋養晚安唇膜20g甜莓雙入組(交換禮物/國際航空版/買1送1),899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12174065&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i1.momoshop.com.tw/1701686446/goodsimg/0012/174/065/12174065_OR_m.webp,露營帳篷小夜燈 戶外露營氛圍燈 交換禮物 (照明燈/夜燈/桌燈/床頭燈/臥室創意燈),341,https://24h.pchome.com.tw/prod/DQBPB7-A900HIE37,https://img.pchome.com.tw/cs/items/DQBPB7A900HIE37/000001_1716647752.jpg?width=320
【Life shop】米黃汝窯旅行茶具組/附皮革收納包(交換禮物 茶具 旅行茶具 隨身泡茶組 泡茶 茶器套組),"1,150",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11823810&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i2.momoshop.com.tw/1705023999/goodsimg/0011/823/810/11823810_OR_m.webp,ANTIAN 3D睡眠腰枕 腰間盤護腰枕 減壓護腰背墊 腰部支撐枕 床上腰墊 護腰靠墊 腰靠枕 孕婦睡覺腰枕 交換禮物,449,https://24h.pchome.com.tw/prod/DEATYG-A900BI8T8,https://img.pchome.com.tw/cs/items/DEATYGA900BI8T8/000001_1624857965.jpg?width=320
【COACH】大C PVC/皮革手拿包/識別證件夾(多款多色任選/交換禮物),"1,178",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10655919&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i1.momoshop.com.tw/1726722329/goodsimg/0010/655/919/10655919_OR_m.webp,半島良品 手作DIY小屋燈 小夜燈 小屋燈 袖珍屋 模型屋 DIY小屋 娃娃屋 手工模型 情人節禮物 交換禮物 畢業禮物 手作,377,https://24h.pchome.com.tw/prod/QFAJEW-A900A4SM1,https://img.pchome.com.tw/cs/items/QFAJEWA900A4SM1/000001_1562564947.jpg?width=320
【KINYO】5.0藍牙讀卡喇叭/可插卡撥音樂/交換禮物必買(BTS-720),399,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9597680&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i3.momoshop.com.tw/1693152724/goodsimg/0009/597/680/9597680_OR_m.webp,WallFree 窩自在 手作DIY小屋燈 小夜燈 小屋燈 袖珍屋 模型屋 DIY小屋 娃娃屋 手工模型 情人節禮物 交換禮物 畢業禮物 手作,599,https://24h.pchome.com.tw/prod/QFAM5W-A9009208J,https://img.pchome.com.tw/cs/items/QFAM5WA9009208J/000001_1527056497.jpg?width=320
【Janyo】牛津布休閒斜背包 男士胸包 USB充電側背包 單肩包(交換禮物),413,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11751623&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i2.momoshop.com.tw/1692352848/goodsimg/0011/751/623/11751623_OR_m.webp,【Amywo艾美窩】6*6cm水晶球小夜燈 附發光實木底座 usb插電 氣氛燈 玻璃球燈 床頭燈 桌面擺件 交換禮物,433,https://24h.pchome.com.tw/prod/DQBPC1-A900GLULF,https://img.pchome.com.tw/cs/items/DQBPC1A900GLULF/000001_1692887446.jpg?width=320
【C&F 香研所】香氛精油擴香補充罐200m x 4入(居家香氛/香水精油/寵物小孩友善/聖誕禮物/交換禮物),749,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12178800&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i3.momoshop.com.tw/1701853639/goodsimg/0012/178/800/12178800_OR_m.webp,星球3D雕刻水晶球 發光水晶球 水晶球 小夜燈 LED燈 聖誕節 情人節 交換禮物,400,https://24h.pchome.com.tw/prod/DQBP7U-A900GY1C8,https://img.pchome.com.tw/cs/items/DQBP7UA900GY1C8/000001_1700817753.jpg?width=320
【經絡刮痧】黑曜石刮痧板(撥筋 排毒 穴位按摩 按摩板 美容工具 臉部按摩 交換禮物),299,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8653926&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E4%BA%A4%E6%8F%9B%E7%A6%AE%E7%89%A9,https://i2.momoshop.com.tw/1695779126/goodsimg/0008/653/926/8653926_OR_m.webp,WallFree 窩自在 交換禮物 超可愛 韓國卡通可愛動物汽車安全帶護套兒童抱枕,539,https://24h.pchome.com.tw/prod/QFAJ1J-A9007O28K,https://img.pchome.com.tw/cs/items/QFAJ1JA9007O28K/000001_1651227358.jpg?width=320
