momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【華陀扶元堂】華陀3A頂級即食燕窩x3瓶(330g/瓶),"10,088",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10569926&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i4.momoshop.com.tw/1710479147/goodsimg/0010/569/926/10569926_OR_m.webp,白蘭氏 冰糖燕窩(70gx6入/盒),1335,https://24h.pchome.com.tw/prod/DBAD0H-A62326377,https://img.pchome.com.tw/cs/items/DBAD0HA62326377/000001_1709198326.jpg?width=320
【華陀扶元堂】3A頂級即食燕窩330g2瓶+近微米細目珍珠粉120包1盒(年節禮盒/金絲燕窩/膠原蛋白/中秋禮盒/送),"9,197",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10381281&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1710479057/goodsimg/0010/381/281/10381281_OR_m.webp,天地合補 官燕窩(70gx6瓶),1155,https://24h.pchome.com.tw/prod/DBBW09-A900HERF9,https://img.pchome.com.tw/cs/items/DBBW09A900HERF9/000001_1718339116.jpg?width=320
【華陀扶元堂】冰糖純燕窩禮盒組3盒組(6瓶/盒-膠原蛋白/燕窩酸/年節禮盒/中秋禮盒/送禮),"2,277",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9120275&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i4.momoshop.com.tw/1702432352/goodsimg/0009/120/275/9120275_OR_m.webp,白蘭氏 冰糖燕窩禮盒(70g/5入+晶鑽碗x1)x3盒,3529,https://24h.pchome.com.tw/prod/DBCL0O-1900C86JJ,https://img.pchome.com.tw/cs/items/DBCL0O1900C86JJ/000001_1669788774.jpg?width=320
【白蘭氏】冰糖燕窩 70g*6瓶(銷售No.1 養顏美容 滋補聖品),"1,335",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11959605&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i4.momoshop.com.tw/1725512539/goodsimg/0011/959/605/11959605_OR_m.webp,白蘭氏 冰糖燕窩禮盒(70g/5入+晶鑽碗x1),1235,https://24h.pchome.com.tw/prod/DBCL0O-A900C7V7G,https://img.pchome.com.tw/cs/items/DBCL0OA900C7V7G/000001_1709197834.jpg?width=320
【華陀扶元堂】冰糖純燕窩磚盒組6盒組(6瓶/盒-膠原蛋白/養顏美容/年節禮盒/中秋禮盒/送禮),"3,509",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10120388&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i3.momoshop.com.tw/1703834801/goodsimg/0010/120/388/10120388_OR_m.webp,廣生堂 原珍冰糖燕窩飲(60ml)6入禮盒,2289,https://24h.pchome.com.tw/prod/DBBAA0-A900H2G3H,https://img.pchome.com.tw/cs/items/DBBAA0A900H2G3H/000001_1704589776.jpg?width=320
【華陀扶元堂】冰糖純燕窩禮盒組2盒組(6瓶/盒-膠原蛋白/燕窩酸/年節禮盒/中秋禮盒/送禮),"1,628",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9120278&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1702432527/goodsimg/0009/120/278/9120278_OR_m.webp,白蘭氏 冰糖燕窩(70gx6入x2盒),2564,https://24h.pchome.com.tw/prod/DBCL0O-1900AGR1Z,https://img.pchome.com.tw/cs/items/DBCL0O1900AGR1Z/000001_1725245761.jpg?width=320
【白蘭氏】冰糖燕窩70g*6入*2盒(共12入)(銷售No.1 養顏美容 滋補聖品),"2,179",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=5251906&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i4.momoshop.com.tw/1726718584/goodsimg/0005/251/906/5251906_OR_m.webp,白蘭氏 冰糖燕窩(70gx6入x3盒),3717,https://24h.pchome.com.tw/prod/DBCL0O-1900HB8IK,https://img.pchome.com.tw/cs/items/DBCL0O1900HB8IK/000001_1725245676.jpg?width=320
【潤燕窩】黃金特潤冰糖燕窩-三入禮盒 iTQi國際風味評鑑二星獎(冰糖燕窩、養生、質感禮盒、長輩送禮)中秋禮,"3,000",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6878644&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1719909251/goodsimg/0006/878/644/6878644_OR_m.webp,白蘭氏 冰糖燕窩禮盒(70g/5入+晶鑽碗x1)x2盒,2352,https://24h.pchome.com.tw/prod/DBCL0O-1900C86JI,https://img.pchome.com.tw/cs/items/DBCL0O1900C86JI/000001_1725245822.jpg?width=320
【白蘭氏】冰糖燕窩70g*6入*3盒 共18入(銷售No.1 養顏美容 滋補聖品),"3,159",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=5179113&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1725512500/goodsimg/0005/179/113/5179113_OR_m.webp,原珍冰糖燕窩飲禮盒 60ml/15 入 2盒 加 NA 枇 30P 或女寶膏 30P 任選 1,11537,https://24h.pchome.com.tw/prod/DBBAA0-A900H2G9Q,https://img.pchome.com.tw/cs/items/DBBAA0A900H2G9Q/000001_1718834798.jpg?width=320
【華陀扶元堂】冰糖純燕窩磚盒組1盒(6瓶/盒-天然EGF/膠原蛋白/燕窩酸/養顏美容/年節禮盒/中秋禮盒/送禮),880,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6947366&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1702432435/goodsimg/0006/947/366/6947366_OR_m.webp,廣生堂 越南龍芽燕盞冰糖燕窩飲145ml6入贈二仙膠30P/固捷靈60P任一,22180,https://24h.pchome.com.tw/prod/DBAXD2-A900HSIM0,https://img.pchome.com.tw/cs/items/DBAXD2A900HSIM0/000001_1725721867.jpg?width=320
