momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【TOSHIBA 東芝】25L微電腦料理微波爐(MM-EM25P),"2,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12732047&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1713589255/goodsimg/0012/732/047/12732047_OR_m.webp,TOSHIBA 東芝 旋鈕式料理微波爐(20L) MM-MM20P(WH),1988,https://24h.pchome.com.tw/prod/DMBJ00-A900HCT4H,https://img.pchome.com.tw/cs/items/DMBJ00A900HCT4H/000001_1725851812.jpg?width=320
【Electrolux 伊萊克斯】極致美味300 20L 獨立式微波爐(EMM20K22B 黑色),"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11443608&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1727057632/goodsimg/0011/443/608/11443608_OR_m.webp,Whirlpool 惠而浦 20公升微電腦微波爐( AKM2064ES),2222,https://24h.pchome.com.tw/prod/DMBJ6Q-A900GNIJN,https://img.pchome.com.tw/cs/items/DMBJ6QA900GNIJN/000001_1726422112.jpg?width=320
【TOSHIBA 東芝】20L微電腦料理微波爐(MM-EM20P),"2,790",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12779074&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i1.momoshop.com.tw/1716369879/goodsimg/0012/779/074/12779074_OR_m.webp,Panasonic 國際牌 20公升微電腦燒烤微波爐 NN-GT25JB,3638,https://24h.pchome.com.tw/prod/DMBJ0G-A900BSWUK,https://img.pchome.com.tw/cs/items/DMBJ0GA900BSWUK/000001_1671502918.jpg?width=320
【Panasonic 國際牌】25L轉盤式微電腦微波爐(NN-ST34NB),"3,150",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10665260&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1692395909/goodsimg/0010/665/260/10665260_OR_m.webp,Panasonic 國際牌 25L微電腦微波爐 NN-ST34NB,3590,https://24h.pchome.com.tw/prod/DMBJ01-A900FY0DB,https://img.pchome.com.tw/cs/items/DMBJ01A900FY0DB/000001_1725932149.jpg?width=320
【Panasonic 國際牌】20L微電腦微波爐NN-ST25JW(NN-ST25JW),"2,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7608881&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1724735124/goodsimg/0007/608/881/7608881_OR_m.webp,SAMPO 聲寶 天廚20L微波爐(RE-N120TR),1990,https://24h.pchome.com.tw/prod/DMBJ00-A900EZNDP,https://img.pchome.com.tw/cs/items/DMBJ00A900EZNDP/000001_1675141681.jpg?width=320
【Electrolux 伊萊克斯】極致美味500 23L獨立式燒烤微波爐-三色任選(EMG23D22SB/EMG23D22NB/EMG23D22B),"3,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11263133&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1727057668/goodsimg/0011/263/133/11263133_OR_m.webp,SAMPO 聲寶 天廚20L微電腦平台式經典美型微波爐(RE-C020PM),3411,https://24h.pchome.com.tw/prod/DMBJ0I-A900B3BSZ,https://img.pchome.com.tw/cs/items/DMBJ0IA900B3BSZ/000001_1706492259.jpg?width=320
【HERAN 禾聯】20L微波爐小資版－(快速加熱/易清潔/銷售NO.1微波爐HMO-20G1T),"1,790",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7039330&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i1.momoshop.com.tw/1711204743/goodsimg/0007/039/330/7039330_OR_m.webp,SAMPO 聲寶 20L平台機械式微波爐 RE-C020PR-,2790,https://24h.pchome.com.tw/prod/DMBJ00-A900HGGHI,https://img.pchome.com.tw/cs/items/DMBJ00A900HGGHI/000001_1715151170.jpg?width=320
【TATUNG 大同】20L燒烤微波爐(TMO-20FEA),"3,190",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10103069&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1723525394/goodsimg/0010/103/069/10103069_OR_m.webp,TATUNG 大同 20公升機械式轉盤微波爐(TMO-20MG),1990,https://24h.pchome.com.tw/prod/DMBJ00-A900FCXKB,https://img.pchome.com.tw/cs/items/DMBJ00A900FCXKB/000001_1673487060.jpg?width=320
【Panasonic 國際牌】20公升燒烤微波爐(NN-GT25JB),"3,638",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9327215&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1724735034/goodsimg/0009/327/215/9327215_OR_m.webp,SAMPO 聲寶 25L微電腦微波爐 RE-N825TM,2890,https://24h.pchome.com.tw/prod/DMBJ01-A900GON51,https://img.pchome.com.tw/cs/items/DMBJ01A900GON51/000001_1695575572.jpg?width=320
【Whirlpool 惠而浦】20L微電腦微波爐(AKM2064ES),"2,222",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9830822&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1709010101/goodsimg/0009/830/822/9830822_OR_m.webp,SAMPO 聲寶 20L轉盤機械式微波爐 RE-J020TR -,2067,https://24h.pchome.com.tw/prod/DMBJ00-A900HGGI0,https://img.pchome.com.tw/cs/items/DMBJ00A900HGGI0/000001_1715151283.jpg?width=320
【Whirlpool 惠而浦】30L微電腦觸控式微波爐(MWG030EW),"2,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8313228&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1701162256/goodsimg/0008/313/228/8313228_OR_m.webp,SAMPO 聲寶 25L平台式機械微波爐 RE-N225PR,3290,https://24h.pchome.com.tw/prod/DMBJ01-A900HHCE5,https://img.pchome.com.tw/cs/items/DMBJ01A900HHCE5/000001_1715837775.jpg?width=320
【CHIMEI 奇美】25L黑晶平台機械式微波爐(MV-25C1FK),"2,980",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12681403&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1711515799/goodsimg/0012/681/403/12681403_OR_m.webp,SAMPO 聲寶 20L平台式機械式微波爐 RE-N220PR -,2650,https://24h.pchome.com.tw/prod/DMBJ00-A900HGGIB,https://img.pchome.com.tw/cs/items/DMBJ00A900HGGIB/000001_1715151491.jpg?width=320
【Whirlpool 惠而浦】☆20L觸控式微電腦微波爐(WMWE200S),"2,590",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8037105&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1709177599/goodsimg/0008/037/105/8037105_OR_m.webp,SAMPO 聲寶 20L平台式微電腦微波爐 RE-B020PM-,3390,https://24h.pchome.com.tw/prod/DMBJ00-1900HGPQD,https://img.pchome.com.tw/cs/items/DMBJ001900HGPQD/000001_1715305377.jpg?width=320
【LG 樂金】25L智慧變頻微波爐(MS2535GIK),"4,790",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12176337&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i1.momoshop.com.tw/1721365561/goodsimg/0012/176/337/12176337_OR_m.webp,HITACHI 日立 20L機械旋鈕式微波爐 HMRM2002,2658,https://24h.pchome.com.tw/prod/DMBJ8K-A900GLF7A,https://img.pchome.com.tw/cs/items/DMBJ8KA900GLF7A/000001_1720497554.jpg?width=320
【SAMPO 聲寶】天廚20L經典美型機械式微波爐(RE-J020TR),"2,067",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8381351&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1705741707/goodsimg/0008/381/351/8381351_OR_m.webp,Panasonic 國際牌 25L機械式微波爐 NN-SM33NW,3250,https://24h.pchome.com.tw/prod/DMBJ02-A900FP16G,https://img.pchome.com.tw/cs/items/DMBJ02A900FP16G/000001_1666937025.jpg?width=320
【SAMPO 聲寶】天廚20L經典美型機械式平台微波爐(RE-C020PR),"2,590",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8401430&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1705741294/goodsimg/0008/401/430/8401430_OR_m.webp,NN-ST34NB 25L微電腦微波爐,3250,https://24h.pchome.com.tw/prod/DCBE34-A900HJIXW,https://img.pchome.com.tw/cs/items/DCBE34A900HJIXW/000001_1726703818.jpg?width=320
【SHARP 夏普】25L 平板式美型微波爐 R-TF25SS(B),"3,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11428864&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1722936962/goodsimg/0011/428/864/11428864_OR_m.webp,Whirlpool 惠而浦  20L觸控式微電腦微波爐(WMWE200S),2590,https://24h.pchome.com.tw/prod/DMBJ00-A900H220L,https://img.pchome.com.tw/cs/items/DMBJ00A900H220L/000001_1704176780.jpg?width=320
【Panasonic 國際牌】25L微電腦微波爐(NN-ST34NB),"3,150",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10766907&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1714453542/goodsimg/0010/766/907/10766907_OR_m.webp,SAMPO 聲寶 21L 微電腦轉盤式微波爐 RE-N921TM -,2290,https://24h.pchome.com.tw/prod/DMBJ01-1900HGPRY,https://img.pchome.com.tw/cs/items/DMBJ011900HGPRY/000001_1715306076.jpg?width=320
