momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【ELPHECO】掛壁式感應垃圾桶 7L ELPH563D/ELPH564D,990,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12937614&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1718255247/goodsimg/0012/937/614/12937614_OR_m.webp,ELPHECO 不鏽鋼雙開蓋感應垃圾桶 ELPH9809 鈦金 (9L),1390,https://24h.pchome.com.tw/prod/DQAUMZ-A900H16IP,https://img.pchome.com.tw/cs/items/DQAUMZA900H16IP/000001_1727058592.jpg?width=320
【小米有品】Lydsto 智能開蓋垃圾桶 16L(垃圾桶 垃圾筒 電動垃圾筒 感應式垃圾桶),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11968339&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1698743448/goodsimg/0011/968/339/11968339_OR_m.webp,ELPHECO 美國 自動臭氧除臭感應垃圾桶 ELPH5911 金色,990,https://24h.pchome.com.tw/prod/DEBAPW-A900BTYZK,https://img.pchome.com.tw/cs/items/DEBAPWA900BTYZK/000001_1726819408.jpg?width=320
【ELPHECO】不鏽鋼雙開蓋感應垃圾桶9L ELPH9809 白色(窄身設計/小容量/小空間適用),"1,390",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12960709&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1726826284/goodsimg/0012/960/709/12960709_OR_m.webp,ELPHECO 不鏽鋼除臭感應垃圾桶 ELPH6311U 銀色,1790,https://24h.pchome.com.tw/prod/DEBAPW-A900FN056,https://img.pchome.com.tw/cs/items/DEBAPWA900FN056/000001_1675312091.jpg?width=320
【Kyhome】智能感應垃圾桶 自動掀蓋 家用防臭垃圾桶(11L 雙模式),559,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12727559&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1714378739/goodsimg/0012/727/559/12727559_OR_m.webp,ELPHECO 不鏽鋼雙開除臭感應垃圾桶 ELPH9811U 鈦金 (20L),2590,https://24h.pchome.com.tw/prod/DQAUMZ-A900H16H5,https://img.pchome.com.tw/cs/items/DQAUMZA900H16H5/000001_1703235740.jpg?width=320
【ELPHECO】防水感應垃圾桶5公升 ELPH5711,599,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8666872&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1718776727/goodsimg/0008/666/872/8666872_OR_m.webp,ELPHECO 不鏽鋼雙開蓋感應垃圾桶9L ELPH9809,1290,https://24h.pchome.com.tw/prod/DQAUG6-A900GCA4H,https://img.pchome.com.tw/cs/items/DQAUG6A900GCA4H/000001_1684391853.jpg?width=320
【ELPHECO】不鏽鋼雙開除臭感應垃圾桶 30公升 ELPH7534U,"2,430",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11319645&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1726826259/goodsimg/0011/319/645/11319645_OR_m.webp,ELPHECO 掛壁式感應垃圾桶 7L ELPH563D/ELPH564D,499,https://24h.pchome.com.tw/prod/DQAUMZ-A900HJYJQ,https://img.pchome.com.tw/cs/items/DQAUMZA900HJYJQ/000001_1718077318.jpg?width=320
【NINESTARS】防潑水時尚白色感應式垃圾桶 12L(/遠紅外線感應),"1,198",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12629715&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1715051838/goodsimg/0012/629/715/12629715_OR_m.webp,ELPHECO 不鏽鋼雙開除臭感應垃圾桶30L ELPH7534U,2690,https://24h.pchome.com.tw/prod/DQAUG6-A900G8OWN,https://img.pchome.com.tw/cs/items/DQAUG6A900G8OWN/000001_1726628879.jpg?width=320
【AHOYE】智能感應式垃圾桶 15L-電池式(自動垃圾桶),899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10487695&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1727073243/goodsimg/0010/487/695/10487695_OR_m.webp,ELPHECO 不鏽鋼雙開除臭感應垃圾桶 50L ELPH5534U,3490,https://24h.pchome.com.tw/prod/DQAUG6-A900G8OWA,https://img.pchome.com.tw/cs/items/DQAUG6A900G8OWA/000001_1726712952.jpg?width=320
【太星電工】自動掀蓋垃圾桶 12L/時尚白(全方位觸碰感應開蓋),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8212102&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1692977337/goodsimg/0008/212/102/8212102_OR_m.webp,KINYO 16L智慧感應垃圾桶 充電式防水清潔桶,699,https://24h.pchome.com.tw/prod/DQAUG6-A900GTQUM,https://img.pchome.com.tw/cs/items/DQAUG6A900GTQUM/000001_1699610266.jpg?width=320
【西格傢飾】智能美學自動感應式垃圾桶20L(揮手感應 屈膝感應 踢踢感應 細菌0接觸),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12617628&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1709804791/goodsimg/0012/617/628/12617628_OR_m.webp,ELPHECO 美國 不鏽鋼臭氧自動除臭感應垃圾桶 ELPH9613,1990,https://24h.pchome.com.tw/prod/DEBAPW-A900FN05O,https://img.pchome.com.tw/cs/items/DEBAPWA900FN05O/000001_1665626587.jpg?width=320
【PLUS】雙感應自動掀蓋垃圾桶-15L(紅外線+觸碰感應 充電式),938,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6879608&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1692718062/goodsimg/0006/879/608/6879608_OR_m.webp,KINYO 20L智慧感應垃圾桶 EGC-1280,799,https://24h.pchome.com.tw/prod/DMALFO-A900H9U2Q,https://img.pchome.com.tw/cs/items/DMALFOA900H9U2Q/000001_1709274778.jpg?width=320
【ELPHECO】不鏽鋼高腳雙開除臭感應垃圾桶15L ELPH9910U 白色(太空艙雙開/窄身設計/窄小空間),"2,230",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13028729&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1726826256/goodsimg/0013/028/729/13028729_OR_m.webp,ELPHECO 防水感應垃圾桶 ELPH5712,799,https://24h.pchome.com.tw/prod/DEBAPW-A900G3NK1,https://img.pchome.com.tw/cs/items/DEBAPWA900G3NK1/000001_1701915626.jpg?width=320
【FJ】不鏽鋼充電式智能感應垃圾桶LS8(大款18公升款),971,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10442832&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1692371105/goodsimg/0010/442/832/10442832_OR_m.webp,智能感應垃圾桶 12L Sease 小米感應式垃圾桶 小米有品 智能垃圾桶 垃圾桶 垃圾筒 電動垃圾筒 紅外線垃圾桶,499,https://24h.pchome.com.tw/prod/DEBUMQ-A900G1KFN,https://img.pchome.com.tw/cs/items/DEBUMQA900G1KFN/000001_1721198013.jpg?width=320
【ELPHECO】防水感應垃圾桶7公升 ELPH5712,799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9857548&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1726826390/goodsimg/0009/857/548/9857548_OR_m.webp,NINESTARS 防潑水時尚白色感應式垃圾桶 12L(沃爾瑪暢銷新款/遠紅外線感應),1140,https://24h.pchome.com.tw/prod/DQAU56-A900HAQNQ,https://img.pchome.com.tw/cs/items/DQAU56A900HAQNQ/000001_1726819203.jpg?width=320
【ELPHECO】不鏽鋼雙開除臭感應垃圾桶 ELPH9811U 鈦金20L,"2,830",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12258142&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1726826792/goodsimg/0012/258/142/12258142_OR_m.webp,ELPHECO 不鏽鋼雙開蓋感應垃圾桶9L ELPH9809 白色,1390,https://24h.pchome.com.tw/prod/DQAUMZ-A900HLJ3W,https://img.pchome.com.tw/cs/items/DQAUMZA900HLJ3W/000001_1726223359.jpg?width=320
【ELPHECO】不鏽鋼高腳除臭感應垃圾桶20公升 ELPH9711U,"2,290",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11738113&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1726826340/goodsimg/0011/738/113/11738113_OR_m.webp,ELPHECO 不鏽鋼除臭感應垃圾桶,1790,https://24h.pchome.com.tw/prod/DEBAPW-A900FN05B,https://img.pchome.com.tw/cs/items/DEBAPWA900FN05B/000001_1675312052.jpg?width=320
【美國NINESTARS】智能法式純白防水感應垃圾桶7L(防潑水/遠紅外線感應),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8916725&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1715051799/goodsimg/0008/916/725/8916725_OR_m.webp,HANDS 台隆手創館 ELPHECO自動除臭感應垃圾桶13L-白金/白灰(ELPH5911),990,https://24h.pchome.com.tw/prod/DEEO1J-A900GCLRZ,https://img.pchome.com.tw/cs/items/DEEO1JA900GCLRZ/000001_1726135231.jpg?width=320
【Ergotech 人因科技】商品品名：智慧感應拉袋打包垃圾桶 18公升+12公升兩入(全新紅外感應技術),790,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12254980&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i1.momoshop.com.tw/1703322203/goodsimg/0012/254/980/12254980_OR_m.webp,NINESTARS 防潑水時尚白色感應式垃圾桶 12L(/遠紅外線感應),1140,https://24h.pchome.com.tw/prod/DAAC1D-A900HAQPN,https://img.pchome.com.tw/cs/items/DAAC1DA900HAQPN/000001_1710147752.jpg?width=320
【ELPHECO】不鏽鋼雙開蓋感應垃圾桶 ELPH9809 鈦金 9L,"1,390",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12258141&Area=search&mdiv=403&oid=1_19&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1726826244/goodsimg/0012/258/141/12258141_OR_m.webp,NINESTARS 美國 現代極簡不銹鋼感應式垃圾桶50L+12L(買大送小/自動開闔/緩降減音/超大容量),2998,https://24h.pchome.com.tw/prod/DEABAM-A9007S9ZT,https://img.pchome.com.tw/cs/items/DEABAMA9007S9ZT/000001_1704161589.jpg?width=320
【EKO】時尚復古款智能感應式垃圾桶12L(奶油白 櫻花粉 海鹽藍 抹茶綠),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12281382&Area=search&mdiv=403&oid=1_20&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1710878824/goodsimg/0012/281/382/12281382_OR_m.webp,小米有品 納仕達智能感應垃圾桶7L(電動垃圾桶 自動開蓋 感應 垃圾筒),790,https://24h.pchome.com.tw/prod/DEAZLA-A900C01W2,https://img.pchome.com.tw/cs/items/DEAZLAA900C01W2/000001_1637312127.jpg?width=320
【DREAMCATCHER】自動開蓋垃圾桶 14L款(感應式垃圾桶 智能垃圾桶 電動垃圾桶 大容量垃圾桶 垃圾桶),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11634749&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1692558513/goodsimg/0011/634/749/11634749_OR_m.webp,ELPHECO 不鏽鋼高腳除臭感應垃圾桶 ELPH9711U,2290,https://24h.pchome.com.tw/prod/DQAUMZ-A900GKV24,https://img.pchome.com.tw/cs/items/DQAUMZA900GKV24/000001_1725589650.jpg?width=320
