momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【LEGO 樂高】Room Copenhagen LEGO LUNCH SET 樂高便當盒水壺組(樂高便當盒水壺組),599,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9451178&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1715773430/goodsimg/0009/451/178/9451178_OR_m.webp,LEGO 樂高 哈利波特系列 71043 Hogwarts Castle(積木 哈利波特),11999,https://24h.pchome.com.tw/prod/DEDJ0R-A900BZEOI,https://img.pchome.com.tw/cs/items/DEDJ0RA900BZEOI/000001_1718353612.jpg?width=320
【LEGO 樂高】LEGO丹麥樂高護脊書包-忍者(多款),"2,090",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7891358&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1699018601/goodsimg/0007/891/358/7891358_OR_m.webp,,,,
【LEGO 樂高】丹麥樂高卡片皮夾(20063-2005),539,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11867345&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1694855791/goodsimg/0011/867/345/11867345_OR_m.webp,,,,
【LEGO 樂高】LT10341 創意大師系列 - NASA Artemis Space Launch System,"6,335",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13100322&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1722575071/goodsimg/0013/100/322/13100322_OR_m.webp,,,,
【LEGO 樂高】Avatar 75572 Jake & Neytiri’s First Banshee Flight(阿凡達 靈鳥),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10532647&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i2.momoshop.com.tw/1692380759/goodsimg/0010/532/647/10532647_OR_m.webp,,,,
【LEGO 樂高】LT42172 科技系列 - 麥拉倫P1™,"12,959",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13209806&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1725339829/goodsimg/0013/209/806/13209806_OR_m.webp,,,,
【LEGO 樂高】丹麥樂高圓筒狀鉛筆盒(10050-1908),399,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11867347&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1694855790/goodsimg/0011/867/347/11867347_OR_m.webp,,,,
【LEGO 樂高】樂高 Unikitty 獨角貓系列 - Prince Puppycorn Trike 41452(基本顆粒),527,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=5734918&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1692637520/goodsimg/0005/734/918/5734918_OR_m.webp,,,,
【LEGO 樂高】Minecraft 21261 狼要塞(The Wolf Stronghold 麥塊 禮物),"1,015",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12831843&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1715403651/goodsimg/0012/831/843/12831843_OR_m.webp,,,,
【LEGO 樂高】LT75579 阿凡達系列 - Payakan the Tulkun & Crab Suit,"3,246",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10946591&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1692393303/goodsimg/0010/946/591/10946591_OR_m.webp,,,,
【LEGO 樂高】Room Copenhagen LEGO☆ Storage Brick 4 Mini 樂高桌上小型收納箱(樂高正式授權商品),699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9365117&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i1.momoshop.com.tw/1713337260/goodsimg/0009/365/117/9365117_OR_m.webp,,,,
【LEGO 樂高】樂高旋風忍者護脊書包(20105-1918),"2,090",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8789574&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i1.momoshop.com.tw/1693064862/goodsimg/0008/789/574/8789574_OR_m.webp,,,,
【LEGO 樂高】LT71439 超級瑪利歐系列 - 與樂高☆ 瑪利歐™ 一起冒險！,"1,468",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13100340&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1722575081/goodsimg/0013/100/340/13100340_OR_m.webp,,,,
【LEGO 樂高】Room Copenhagen LEGO☆ Storage Brick 4樂高積木經典方塊四抽屜盒-粉紅色(樂高玩具收納盒),"1,360",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9601457&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1693153149/goodsimg/0009/601/457/9601457_OR_m.webp,,,,
【LEGO 樂高】LT71440 超級瑪利歐系列 - 與樂高☆ 路易吉™ 一起冒險！,"1,468",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13100339&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1722575073/goodsimg/0013/100/339/13100339_OR_m.webp,,,,
【LEGO 樂高】LEGO丹麥樂高護脊書包-女生(多款可選),"1,890",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9627850&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1693155881/goodsimg/0009/627/850/9627850_OR_m.webp,,,,
【LEGO 樂高】創意大師 - 野生動物園動物(31150),"2,102",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12510525&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i1.momoshop.com.tw/1706850483/goodsimg/0012/510/525/12510525_OR_m.webp,,,,
【LEGO 樂高】Room Copenhagen LEGO LUNCH SET 樂高便當盒水壺組-薰衣紫(樂高便當盒水壺組),"1,088",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9587904&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i1.momoshop.com.tw/1693151730/goodsimg/0009/587/904/9587904_OR_m.webp,,,,
【LEGO 樂高】丹麥樂高鉛筆盒(10052-2007),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11867354&Area=search&mdiv=403&oid=1_19&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1694855786/goodsimg/0011/867/354/11867354_OR_m.webp,,,,
【LEGO 樂高】Icons 10323 PAC-MAN 機台(小精靈 遊戲機 禮物),"6,599",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12209131&Area=search&mdiv=403&oid=1_20&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i1.momoshop.com.tw/1703177954/goodsimg/0012/209/131/12209131_OR_m.webp,,,,
【LEGO 樂高】Room Copenhagen LEGO WALL HANGER SET OF 3 放大版樂高掛勾(樂高正式授權商品),594,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9387078&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1713343533/goodsimg/0009/387/078/9387078_OR_m.webp,,,,
【LEGO 樂高】Jurassic-火盜龍＆雙冠龍運送(76951),"1,759",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12622887&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1709960594/goodsimg/0012/622/887/12622887_OR_m.webp,,,,
【LEGO 樂高】積木 BrickHeadz 舞龍人40354(代理版),"1,139",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12350696&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1705288992/goodsimg/0012/350/696/12350696_OR_m.webp,,,,
【LEGO 樂高】LEGO丹麥樂高超輕量休閒背包-小-多款任選(20129),"1,090",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7920886&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1699602557/goodsimg/0007/920/886/7920886_OR_m.webp,,,,
【LEGO 樂高】ARCHITECTURE世界建築系列-白宮-1483pcs(21054),"3,773",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12510508&Area=search&mdiv=403&oid=1_25&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1706850476/goodsimg/0012/510/508/12510508_OR_m.webp,,,,
【LEGO 樂高】Room Copenhagen LEGO☆ Storage Brick 4樂高積木經典方塊四抽屜盒-灰色(樂高玩具收納盒),"1,360",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9601459&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i2.momoshop.com.tw/1693152962/goodsimg/0009/601/459/9601459_OR_m.webp,,,,
【LEGO 樂高】丹麥樂高卡片皮夾(20063-1908),599,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11867346&Area=search&mdiv=403&oid=1_27&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1694855790/goodsimg/0011/867/346/11867346_OR_m.webp,,,,
【LEGO 樂高】Minecraft 21257 吞噬者對決(The Devourer Showdown 麥塊),"1,274",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12209167&Area=search&mdiv=403&oid=1_28&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1702458098/goodsimg/0012/209/167/12209167_OR_m.webp,,,,
【LEGO 樂高】經典套裝 10698 樂高大型創意拼砌盒桶(積木 玩具),"1,399",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6696829&Area=search&mdiv=403&oid=1_29&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1693449170/goodsimg/0006/696/829/6696829_OR_m.webp,,,,
【LEGO 樂高】經典套裝 10696 樂高中型創意拼砌盒桶(積木 玩具),909,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6696819&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i2.momoshop.com.tw/1692726586/goodsimg/0006/696/819/6696819_OR_m.webp,,,,
【LEGO 樂高】LT75379 星際大戰系列 - R2-D2™,"3,008",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12854748&Area=search&mdiv=403&oid=2_1&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1716008829/goodsimg/0012/854/748/12854748_OR_m.webp,,,,
【LEGO 樂高】新年系列-新春冰上遊(80109),"3,061",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11827204&Area=search&mdiv=403&oid=2_2&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i1.momoshop.com.tw/1694077939/goodsimg/0011/827/204/11827204_OR_m.webp,,,,
【LEGO 樂高】LT10796 蓋比娃娃屋系列 - Gabby’s Kitty Care Ear,"1,132",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12907431&Area=search&mdiv=403&oid=2_3&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1717390819/goodsimg/0012/907/431/12907431_OR_m.webp,,,,
【LEGO 樂高】Friends 姊妹淘系列 - 運河船屋(41702),"2,445",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11821073&Area=search&mdiv=403&oid=2_4&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1693991542/goodsimg/0011/821/073/11821073_OR_m.webp,,,,
【LEGO 樂高】丹麥樂高鉛筆盒(10052-2005),449,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11867351&Area=search&mdiv=403&oid=2_5&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1694855786/goodsimg/0011/867/351/11867351_OR_m.webp,,,,
【LEGO 樂高】阿凡達 - Floating Mountains: Site 26 & RDA Samson(75573),"3,519",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12479128&Area=search&mdiv=403&oid=2_6&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1706173323/goodsimg/0012/479/128/12479128_OR_m.webp,,,,
【LEGO 樂高】Room Copenhagen LEGO Storage Brick樂高大型積木收納箱桌上抽屜4凸(樂高桌上收納盒4凸),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9313067&Area=search&mdiv=403&oid=2_7&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1713259579/goodsimg/0009/313/067/9313067_OR_m.webp,,,,
【LEGO 樂高】Room Copenhagen LEGO☆ Storage Brick 4樂高積木經典方塊四抽屜盒(樂高玩具收納盒),"1,380",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9559956&Area=search&mdiv=403&oid=2_8&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i3.momoshop.com.tw/1693148780/goodsimg/0009/559/956/9559956_OR_m.webp,,,,
【LEGO 樂高】積木 BrickHeadz 舞獅人40540(代理版),711,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12350695&Area=search&mdiv=403&oid=2_9&cid=index&kw=%E6%A8%82%E9%AB%98_71043,https://i4.momoshop.com.tw/1705317786/goodsimg/0012/350/695/12350695_OR_m.webp,,,,
