momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【Logitech 羅技】MK470 纖薄無線鍵鼠組,"1,590",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6772741&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i4.momoshop.com.tw/1715743991/goodsimg/0006/772/741/6772741_OR_m.webp,Logitech 羅技 MK270r 無線滑鼠鍵盤組,799,https://24h.pchome.com.tw/prod/DSAR0O-A900BMN65,https://img.pchome.com.tw/cs/items/DSAR0OA900BMN65/000001_1673849449.jpg?width=320
【Logitech 羅技】Pebble 2 Combo 無線藍牙鍵盤滑鼠組 K380S+M350S(玫瑰粉/迷霧灰),"1,790",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11805215&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i1.momoshop.com.tw/1719213110/goodsimg/0011/805/215/11805215_OR_m.webp,Logitech 羅技 Pebble 2 Combo 無線藍牙鍵盤滑鼠組,1690,https://24h.pchome.com.tw/prod/DSAR0O-A900GO7PG,https://img.pchome.com.tw/cs/items/DSAR0OA900GO7PG/000001_1725244954.jpg?width=320
【aibo】復古圓點 2.4G無線鍵盤滑鼠組,899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10498332&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i3.momoshop.com.tw/1692376552/goodsimg/0010/498/332/10498332_OR_m.webp,Logitech 羅技 MK240 Nano 無線鍵鼠組 - 黑色/黃邊,749,https://24h.pchome.com.tw/prod/DCAH86-A90089FWB,https://img.pchome.com.tw/cs/items/DCAH86A90089FWB/000001_1646116534.jpg?width=320
【Logitech 羅技】MK235 無線鍵盤滑鼠組,699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=3889193&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i3.momoshop.com.tw/1715752386/goodsimg/0003/889/193/3889193_OR_m.webp,Logitech 羅技 MK220 無線滑鼠鍵盤組,599,https://24h.pchome.com.tw/prod/DSAR0O-A900BPZFS,https://img.pchome.com.tw/cs/items/DSAR0OA900BPZFS/000001_1630389527.jpg?width=320
【Logitech 羅技】K580 超薄跨平台藍牙鍵盤 + Pebble M350s 無線藍牙滑鼠 - 任選,"2,049",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12773588&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i1.momoshop.com.tw/1724907862/goodsimg/0012/773/588/12773588_OR_m.webp,Logitech 羅技 MK235無線滑鼠鍵盤組,699,https://24h.pchome.com.tw/prod/DCAN07-A9006VLDK,https://img.pchome.com.tw/cs/items/DCAN07A9006VLDK/000001_1681092425.jpg?width=320
【Logitech 羅技】MK345 無線鍵盤滑鼠組(藍黑),"1,290",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12488045&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i2.momoshop.com.tw/1706332023/goodsimg/0012/488/045/12488045_OR_m.webp,Logitech 羅技 MK950 無線鍵盤滑鼠組 - 石墨黑,3990,https://24h.pchome.com.tw/prod/DSAR0O-A900HDBP6,https://img.pchome.com.tw/cs/items/DSAR0OA900HDBP6/000001_1727054754.jpg?width=320
【Norns】迪士尼奇奇蒂蒂無線鍵盤滑鼠組(無線鍵盤滑鼠組),"1,580",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13021732&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i4.momoshop.com.tw/1723525553/goodsimg/0013/021/732/13021732_OR_m.webp,Logitech 羅技 MK330R 無線鍵鼠組,1090,https://24h.pchome.com.tw/prod/DCAH86-A90095EZ3,https://img.pchome.com.tw/cs/items/DCAH86A90095EZ3/000001_1601432000.jpg?width=320
【Logitech 羅技】MK345無線鍵盤滑鼠組,"1,290",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12911724&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i1.momoshop.com.tw/1717650289/goodsimg/0012/911/724/12911724_OR_m.webp,Logitech 羅技 MX KEYS S COMBO 無線智能鍵盤滑鼠組-石墨灰,7290,https://24h.pchome.com.tw/prod/DSAR0O-A900GEHAA,https://img.pchome.com.tw/cs/items/DSAR0OA900GEHAA/000001_1725246982.jpg?width=320
【Logitech 羅技】MK220 無線鍵盤滑鼠組,599,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=3722203&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i2.momoshop.com.tw/1715752466/goodsimg/0003/722/203/3722203_OR_m.webp,Logitech 羅技 MX高階超值組- Master 3S無線滑鼠+ Mechanical 鍵盤 - 茶軸,7980,https://24h.pchome.com.tw/prod/DSAR81-1900GEJFK,https://img.pchome.com.tw/cs/items/DSAR811900GEJFK/000001_1686380398.jpg?width=320
【Logitech 羅技】MK270r無線鍵鼠組(黑色),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=3539798&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i4.momoshop.com.tw/1715752545/goodsimg/0003/539/798/3539798_OR_m.webp,Logitech 羅技 MK345 無線滑鼠鍵盤組,1290,https://24h.pchome.com.tw/prod/DSAR0O-A900HJB8G,https://img.pchome.com.tw/cs/items/DSAR0OA900HJB8G/000001_1718790875.jpg?width=320
