momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【ETQ USA】超輕量2000W數碼發電機NI2000i(變頻+4行程+低噪音),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12500879&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i4.momoshop.com.tw/1706681492/goodsimg/0012/500/879/12500879_OR_m.webp,YAMAHA 山葉 變頻式靜音發電機 EF2000iSv2,36500,https://24h.pchome.com.tw/prod/DECA6Q-A900FH7OZ,https://img.pchome.com.tw/cs/items/DECA6QA900FH7OZ/000001_1662963010.jpg?width=320
【ETQ USA】3600W拉桿式汽油發電機(TG32P31),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6262343&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692716416/goodsimg/0006/262/343/6262343_OR_m.webp,"HONDA 日本 本田 EU22i 發電機 小巧便攜多場景適用 露營,野營適用",58800,https://24h.pchome.com.tw/prod/DECA6Q-A900FCW6D,https://img.pchome.com.tw/cs/items/DECA6QA900FCW6D/000001_1668483302.jpg?width=320
【HONDA 本田】EZ3000CX 標準式發電機(手推附輪／推薦《商用、防災、露營、活動》),"23,528",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12474855&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1706087058/goodsimg/0012/474/855/12474855_OR_m.webp,"KOTSURU 【日本】8馬赫 攜帶式戶外行動電源 1000W超大功率儲能電瓶 台灣製造/服務最快速(含AI偵測)(購買請認明正版8馬赫,謝絕仿冒)",45900,https://24h.pchome.com.tw/prod/DEBQ7S-A900BUTEH,https://img.pchome.com.tw/cs/items/DEBQ7SA900BUTEH/000001_1726711345.jpg?width=320
應急電源 手搖發電機(太陽能蓄電 手電 應急收音機 警報器),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10430817&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i1.momoshop.com.tw/1692368821/goodsimg/0010/430/817/10430817_OR_m.webp,KOTSURU 【日本】8馬赫 3000W 究極重砲 攜帶式量子儲能電瓶,198000,https://24h.pchome.com.tw/prod/DEBQ7S-A900GQ6MM,https://img.pchome.com.tw/cs/items/DEBQ7SA900GQ6MM/000001_1697085021.jpg?width=320
【TAKANO 高野】汽油發電機3500W-電啟動(ETA3500E),"16,875",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9627505&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i1.momoshop.com.tw/1693155954/goodsimg/0009/627/505/9627505_OR_m.webp,BLUETTI EB55 野獸級戶外行動電源站,15900,https://24h.pchome.com.tw/prod/DEBQ7S-A900FSLND,https://img.pchome.com.tw/cs/items/DEBQ7SA900FSLND/000001_1724641363.jpg?width=320
【Honda 本田】EU22i變頻式發電機(可露營、戶外活動、防災、商業用),"67,070",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10443296&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692371501/goodsimg/0010/443/296/10443296_OR_m.webp,HONDA 日本本田變頻式發電機 EU22i,46399,https://24h.pchome.com.tw/prod/DQBE2U-A900GBQS1,https://img.pchome.com.tw/cs/items/DQBE2UA900GBQS1/000001_1684119527.jpg?width=320
【HONDA 本田】EU30is 變頻式發電機(露營、戶外工程活動、停電都適合),"99,860",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12703458&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i3.momoshop.com.tw/1712120477/goodsimg/0012/703/458/12703458_OR_m.webp,SHELL 殼牌可攜式高容量儲能電源 MP1000+專用收納包,29988,https://24h.pchome.com.tw/prod/DEBQ7S-A900G6GSH,https://img.pchome.com.tw/cs/items/DEBQ7SA900G6GSH/000001_1726719749.jpg?width=320
【Honda 本田】EU22i 發電機(露營專用/戶外/野營/家用都適合),"53,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9649389&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1694066647/goodsimg/0009/649/389/9649389_OR_m.webp,YAMAHA 山葉 變頻式靜音發電機 EF2200iS,41500,https://24h.pchome.com.tw/prod/DECA6Q-A900FGROU,https://img.pchome.com.tw/cs/items/DECA6QA900FGROU/000001_1667268784.jpg?width=320
【TAKANO 高野】8000W汽油發電機(ETA8000E),"38,800",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9613730&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i1.momoshop.com.tw/1701334845/goodsimg/0009/613/730/9613730_OR_m.webp,型鋼力 SHIN KOMI 2000W靜音變頻發電機,16489,https://24h.pchome.com.tw/prod/DQBE1F-A900GBY17,https://img.pchome.com.tw/cs/items/DQBE1FA900GBY17/000001_1684229212.jpg?width=320
【麻新電子】SR-1208 12V 6A自備電源發電機用(全自動充電器 台灣製造 一年保固),"3,000",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12179078&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1701853466/goodsimg/0012/179/078/12179078_OR_m.webp,TAKANO 8000W汽油發電機(含電啟動) ETA8000E,37249,https://24h.pchome.com.tw/prod/DECAAV-A900FLWBZ,https://img.pchome.com.tw/cs/items/DECAAVA900FLWBZ/000001_1664359806.jpg?width=320
