momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【極品莊園咖啡】15入濾掛禮盒-繽紛果香/胡桃鉗/濃情巧克力G153(10gx15入/盒),445,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8474861&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1692977802/goodsimg/0008/474/861/8474861_OR_m.webp,OKLAO 歐客佬 C.O.E精品莊園特調豆系列-巧克力交響曲 水洗 咖啡豆 (半磅)深烘焙(11020198),800,https://24h.pchome.com.tw/prod/DBATG1-A900C1ISA,https://img.pchome.com.tw/cs/items/DBATG1A900C1ISA/000001_1638171928.jpg?width=320
【木子家咖啡】巧克力情人莊園｜薩爾瓦多 中淺焙 咖啡豆(半磅/包、PROBAT烘豆機、蜜處理、水洗),395,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12858321&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1716267983/goodsimg/0012/858/321/12858321_OR_m.webp,【Foodpro 優群】白巧克力戀人160g/盒,110,https://24h.pchome.com.tw/prod/DBAC0T-A900FE4D3,https://img.pchome.com.tw/cs/items/DBAC0TA900FE4D3/000001_1660545920.jpg?width=320
【多儂莊園工坊】100% 天然 無糖可可粉 1000克 2包裝 生可可粉 輕焙可可粉 母親節禮物,"1,090",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10269270&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1723870899/goodsimg/0010/269/270/10269270_OR_m.webp,木子家咖啡 薩爾瓦多巧克力情人莊園 蜜處理 水洗 單品咖啡豆(半磅),500,https://24h.pchome.com.tw/prod/DBAT8Y-A900HFBL9,https://img.pchome.com.tw/cs/items/DBAT8YA900HFBL9/000001_1714053086.jpg?width=320
【多儂莊園工坊】100% 300g 黑巧克力 薄片滴制 無糖巧克力(無糖 黑巧克力 Darkolake)_母親節禮物(交換禮物,790,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9214332&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1693064411/goodsimg/0009/214/332/9214332_OR_m.webp,GEX 巧克力莊園豪華鼠籠 (巧克力/抹茶),807,https://24h.pchome.com.tw/prod/QFAW5Y-A900A33KX,https://img.pchome.com.tw/cs/items/QFAW5YA900A33KX/000001_1560741521.jpg?width=320
【多儂莊園工坊】100% 2包裝 1000g 巧克力 薄片滴制 無糖巧克力 無糖 黑巧克力,"1,185",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9214334&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1693063872/goodsimg/0009/214/334/9214334_OR_m.webp,,,,
【多儂莊園工坊】100% 天然 無糖可可粉 500克 生可可粉 輕焙可可粉 母親節禮物,607,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10269271&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1692287146/goodsimg/0010/269/271/10269271_OR_m.webp,,,,
【OKLAO歐客佬】C.O.E精品莊園特調豆系列巧克力交響曲深烘焙咖啡豆(半磅/袋;水洗處理法),800,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9652133&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1718255076/goodsimg/0009/652/133/9652133_OR_m.webp,,,,
【SWEETS SWEETS】巧克力莊園絲滑修容盤01-可可棕 5.3g,490,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8789745&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i1.momoshop.com.tw/1693064976/goodsimg/0008/789/745/8789745_OR_m.webp,,,,
【多儂莊園工坊】75% 500g 巧克力 薄片滴制 無糖巧克力(75%黑巧克力 Darkolake)_母親節禮物,"1,106",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9742115&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1693150832/goodsimg/0009/742/115/9742115_OR_m.webp,,,,
【多儂莊園工坊】100% 天然 無糖可可粉 外出包20入(生可可粉 輕焙可可粉 )_母親節禮物,453,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10269272&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i1.momoshop.com.tw/1723870899/goodsimg/0010/269/272/10269272_OR_m.webp,,,,
Millesime單一莊園黑巧克力收藏限量組,890,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11472176&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i3.momoshop.com.tw/1692479614/goodsimg/0011/472/176/11472176_OR_m.webp,,,,
【多儂莊園工坊】75% 2包裝 1000g 巧克力 薄片滴制 75%巧克力(黑巧克力 Darkolake)_母親節禮物,"1,856",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9742114&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1693151143/goodsimg/0009/742/114/9742114_OR_m.webp,,,,
【多儂莊園工坊】75% 2包裝 50入 咖啡巧克力 微甜巧克力(微甜 咖啡 黑巧克力 Darkolake)_母親節禮物(交換禮,758,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9213780&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i1.momoshop.com.tw/1693063751/goodsimg/0009/213/780/9213780_OR_m.webp,,,,
【多儂莊園工坊】75% 2包裝 50入 核桃巧克力 微甜巧克(微甜 核桃 黑巧克力 Darkolake)_母親節禮物(交換禮物,758,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9214328&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i1.momoshop.com.tw/1693064392/goodsimg/0009/214/328/9214328_OR_m.webp,,,,
【多儂莊園工坊】100% 500g 巧克力 薄片滴制 無糖巧克力(無糖 黑巧克力 Darkolake)_母親節禮物,"1,174",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9214333&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1693064403/goodsimg/0009/214/333/9214333_OR_m.webp,,,,
【多儂莊園工坊】75% 黑巧克力 10包 150片(純可可脂 微甜 Darkolake)_母親節禮物,"2,449",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9265391&Area=search&mdiv=403&oid=1_16&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1693068798/goodsimg/0009/265/391/9265391_OR_m.webp,,,,
【Diva Life】比利時進口金豆獎 限量莊園 瓜地馬拉 74%黑巧克力*2,789,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11489018&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1692542573/goodsimg/0011/489/018/11489018_OR_m.webp,,,,
【多儂莊園工坊】85% 4包 100入 核桃巧克力 微苦巧克力(微苦 核桃 黑巧克力 Darkolake)_母親節禮物(交換禮,"1,437",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9213775&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i3.momoshop.com.tw/1693064385/goodsimg/0009/213/775/9213775_OR_m.webp,,,,
【多儂莊園工坊】100% 2包 50入 核桃巧克力 無糖巧克力(無糖 核桃 黑巧克力 Darkolake)_母親節禮物(交換禮,758,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9067858&Area=search&mdiv=403&oid=1_19&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i1.momoshop.com.tw/1693085286/goodsimg/0009/067/858/9067858_OR_m.webp,,,,
【多儂莊園工坊】85% 4包 100入 杏仁巧克力 微苦巧克力(微苦 杏仁 黑巧克力 Darkolake)_母親節禮物(交換禮,"1,437",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9213778&Area=search&mdiv=403&oid=1_20&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i1.momoshop.com.tw/1693064392/goodsimg/0009/213/778/9213778_OR_m.webp,,,,
【多儂莊園工坊】85% 黑巧克力 10包 150片(純可可脂 微苦 Darkolake)_母親節禮物,"2,449",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9265394&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1693068814/goodsimg/0009/265/394/9265394_OR_m.webp,,,,
【不二緻果】曼哥羅漿軍(精選Mangaro莊園巧克力製成),460,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=5899596&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1692631001/goodsimg/0005/899/596/5899596_OR_m.webp,,,,
【多儂莊園工坊】75% 2包裝 50入 榛果巧克力 微甜巧克力(微甜 榛果 黑巧克力 Darkolake)_母親節禮物(交換禮,758,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9214329&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i3.momoshop.com.tw/1693064416/goodsimg/0009/214/329/9214329_OR_m.webp,,,,
【多儂莊園工坊】100%24入巧克力薄片 無糖巧克力(無糖 黑巧克力 Darkolake)_母親節禮物,473,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9055110&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i1.momoshop.com.tw/1695719649/goodsimg/0009/055/110/9055110_OR_m.webp,,,,
【多儂莊園工坊】85% 4包 100入 榛果巧克力 微苦巧克力(微苦 榛果 黑巧克力 Darkolake)_母親節禮物(交換禮,"1,437",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9213779&Area=search&mdiv=403&oid=1_25&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1693063864/goodsimg/0009/213/779/9213779_OR_m.webp,,,,
【多儂莊園工坊】100% 黑巧克力 10包裝 150片(無糖 純可可脂 Darkolake)_母親節禮物,"2,449",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9265386&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i3.momoshop.com.tw/1693068916/goodsimg/0009/265/386/9265386_OR_m.webp,,,,
【多儂莊園工坊】100% 2包裝 50入 咖啡巧克力 無糖巧克力(無糖 咖啡 黑巧克力 Darkolake)_母親節禮物(交換,758,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9214331&Area=search&mdiv=403&oid=1_27&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1693064405/goodsimg/0009/214/331/9214331_OR_m.webp,,,,
【多儂莊園工坊】90% 500g 巧克力 薄片滴制 無糖巧克力(90%黑巧克力 Darkolake)_母親節禮物,"1,106",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9742110&Area=search&mdiv=403&oid=1_28&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i4.momoshop.com.tw/1693150826/goodsimg/0009/742/110/9742110_OR_m.webp,,,,
比利時莊園級精品黑巧克力全球限量配額,"1,160",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10641888&Area=search&mdiv=403&oid=1_29&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i2.momoshop.com.tw/1692392983/goodsimg/0010/641/888/10641888_OR_m.webp,,,,
【多儂莊園工坊】90% 2包裝 1000g 巧克力 薄片滴制 90%巧克力(黑巧克力 Darkolake)_母親節禮物,"1,903",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9742111&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E8%8E%8A%E5%9C%92%E5%B7%A7%E5%85%8B%E5%8A%9B,https://i3.momoshop.com.tw/1693151144/goodsimg/0009/742/111/9742111_OR_m.webp,,,,
