momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【日本e+MIRAI】高機動30W冒險太陽能電池板！用陽光為手機、行動電源充電！(戶外用電、防災好物！),"1,976",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12825088&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1720847205/goodsimg/0012/825/088/12825088_OR_m.webp,MYCELL 新色登場 Mini Air 20W PD 10000mAh 閃充行動電源,990,https://24h.pchome.com.tw/prod/DYAO44-A900H06ZD,https://img.pchome.com.tw/cs/items/DYAO44A900H06ZD/000001_1726474024.jpg?width=320
【Photofast】MAGSLIM 10000mAh 超薄磁吸無線充行動電源(Mag Slim/Magsafe),"1,790",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12992040&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1719550918/goodsimg/0012/992/040/12992040_OR_m.webp,Miworks 米沃 買大送二超值組 6色可選 10000mAh 多功能 22.5W七合一快充磁吸行動電源,1680,https://24h.pchome.com.tw/prod/DGBU25-A900GEBS8,https://img.pchome.com.tw/cs/items/DGBU25A900GEBS8/000001_1725506847.jpg?width=320
【MOZTECH】多功能五合一 萬能充Pro 10000mAh行動電源 5色可選(新色上市),"1,780",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10826704&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i3.momoshop.com.tw/1715940906/goodsimg/0010/826/704/10826704_OR_m.webp,ADATA 威剛 P20000QCD 20000mAh PD/QC極速快充行動電源,799,https://24h.pchome.com.tw/prod/DYAO8Z-A900HBX9Z,https://img.pchome.com.tw/cs/items/DYAO8ZA900HBX9Z/000001_1711096061.jpg?width=320
【Benks】MP01 5000mah 10W Type-C 無線極薄磁吸背夾行動電源(無線充電 Magsafe 輕巧型 便攜式 超薄款),671,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11663817&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i2.momoshop.com.tw/1698154263/goodsimg/0011/663/817/11663817_OR_m.webp,小米有品 | mimax 摺疊行動電源 5000mAh-黑/白 15W 單孔輸出,690,https://24h.pchome.com.tw/prod/DYBB1E-A900HIGMV,https://img.pchome.com.tw/cs/items/DYBB1EA900HIGMV/000001_1716798827.jpg?width=320
【sardine沙丁魚】Lightning/Typec 自帶線插頭二合一行動電源,"1,019",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11840474&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1694250863/goodsimg/0011/840/474/11840474_OR_m.webp,Adam 亞果元素 GRAVITY C5 超薄型磁吸行動電源 5000mAh,1290,https://24h.pchome.com.tw/prod/DYAO16-A900H030L,https://img.pchome.com.tw/cs/items/DYAO16A900H030L/000001_1703477186.jpg?width=320
【POLYBATT】石墨烯銅導散熱行動電源 磁吸三用 Apple Watch、AirPods耳機皆支援,"1,280",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12678130&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1719464521/goodsimg/0012/678/130/12678130_OR_m.webp,PHILIPS 飛利浦 無限能源盡在掌握 太陽能10000mAh行動電源 DLP7728N/96,749,https://24h.pchome.com.tw/prod/DYAO44-A900H4GE1,https://img.pchome.com.tw/cs/items/DYAO44A900H4GE1/000001_1706602688.jpg?width=320
【ANKER】A1654 Anker 10000mAh Qi2 15W磁吸行動電源(白/黑),"2,290",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13231269&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1727087101/goodsimg/0013/231/269/13231269_OR_m.webp,小米有品 | mimax 便攜式行動電源 W17含支架 10000mAh Magsafe,1390,https://24h.pchome.com.tw/prod/DYBB1E-A900HHSSX,https://img.pchome.com.tw/cs/items/DYBB1EA900HHSSX/000001_1722319363.jpg?width=320
【ADAM 亞果元素】GRAVITY C2 磁吸無線快充行動電源(Mag 力無限 真 速吸),"1,290",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10668536&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1717564005/goodsimg/0010/668/536/10668536_OR_m.webp,小米有品 | mimax 多功能行動電源 20000mAh,1490,https://24h.pchome.com.tw/prod/DYBB1E-A900HGCNK,https://img.pchome.com.tw/cs/items/DYBB1EA900HGCNK/000001_1721033023.jpg?width=320
【SNOOPY 史努比】PSN-136 12000mAh 萬國充自帶線行動電源(附萬國插頭組/CL雙線),"1,691",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13001273&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1719896814/goodsimg/0013/001/273/13001273_OR_m.webp,ADATA 威剛 P10000QCD 10000mAh PD/QC極速快充行動電源,499,https://24h.pchome.com.tw/prod/DYAO44-A900HC1WQ,https://img.pchome.com.tw/cs/items/DYAO44A900HC1WQ/000001_1711341251.jpg?width=320
【Samsung 三星】原廠 10000mAh 25W Type C雙向閃充行動電源(EB-P3400),675,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11148083&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1723513353/goodsimg/0011/148/083/11148083_OR_m.webp,sp 廣穎 QP55(支援PD/QC/SuperCharge) 快充行動電源 10000mAh(消光黑),499,https://24h.pchome.com.tw/prod/DYAO44-A900GR8RQ,https://img.pchome.com.tw/cs/items/DYAO44A900GR8RQ/000001_1711618990.jpg?width=320
