momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【89 zone】日系時尚透氣網增高 女鞋 大尺碼 鞋 老爹鞋 厚底鞋 增高鞋 運動鞋 休閒鞋 餅乾鞋(米/黑),699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12673883&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i2.momoshop.com.tw/1711256409/goodsimg/0012/673/883/12673883_OR_m.webp,NIKE 耐吉 慢跑鞋 E-Series 1.0 男鞋 灰 紅 緩震 入門款 運動鞋 DR5670-013,1317,https://24h.pchome.com.tw/prod/DXAX28-A900GOBYH,https://img.pchome.com.tw/cs/items/DXAX28A900GOBYH/000001_1695184193.jpg?width=320
【89 zone】日系時尚ins潮感小白鞋 女鞋 大尺碼 鞋 老爹鞋 厚底鞋 增高鞋 運動鞋 休閒鞋 小白鞋(白/黑/紅),699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12931465&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1717995615/goodsimg/0012/931/465/12931465_OR_m.webp,Under Armour UA 男女款 慢跑鞋 運動鞋 均一價,1612,https://24h.pchome.com.tw/prod/DXAX7Z-A900GH6H4,https://img.pchome.com.tw/cs/items/DXAX7ZA900GH6H4/000001_1727061908.jpg?width=320
【89 zone】日系海邊沙灘夾腳 女鞋 男鞋 人字鞋 拖鞋 大尺碼 鞋 厚底鞋 涼拖鞋(黑/白/綠/桔),199,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9224499&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i3.momoshop.com.tw/1702432967/goodsimg/0009/224/499/9224499_OR_m.webp,Asics 亞瑟士 慢跑鞋 GEL-Contend 9 4E 男鞋 女鞋 超寬楦 黑 緩衝 全黑 運動鞋 1011B882003,1580,https://24h.pchome.com.tw/prod/DXAX5M-A900HNM5S,https://img.pchome.com.tw/cs/items/DXAX5MA900HNM5S/000001_1720759293.jpg?width=320
【89 zone】日系超軟踩屎感高彈防臭 男鞋 女鞋 運動鞋 休閒鞋 老爹鞋 厚底鞋 慢跑鞋 鞋墊(灰/白/黑/黃/綠),179,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9314245&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i1.momoshop.com.tw/1700816620/goodsimg/0009/314/245/9314245_OR_m.webp,NIKE 耐吉 慢跑鞋 Flex Experience RN 11 NN 4E 男鞋 黑 超寬楦 路跑 運動鞋 DH5753-001,1228,https://24h.pchome.com.tw/prod/DXAX28-A900HMHJ9,https://img.pchome.com.tw/cs/items/DXAX28A900HMHJ9/000001_1719980131.jpg?width=320
【adidas 愛迪達】99大促 運動鞋 休閒鞋 男鞋 女鞋(IE2006&HP6642&ID7372&HP6646&ID2293&ID2279),949,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11984785&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1699413509/goodsimg/0011/984/785/11984785_OR_m.webp,NIKE 耐吉 慢跑鞋 Air Zoom Pegasus Shield 男鞋 綠 黃 防潑水 緩震 小飛馬 運動鞋 FV8107-070,2118,https://24h.pchome.com.tw/prod/DXAX28-A900GREVJ,https://img.pchome.com.tw/cs/items/DXAX28A900GREVJ/000001_1698127318.jpg?width=320
【NEW BALANCE】NB 530 運動鞋 復古鞋 IU同款 男鞋 女鞋(MR530PA-D&MR530PC-D&MR530RA-D&MR530RD-D),"1,899",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12865651&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i2.momoshop.com.tw/1724652323/goodsimg/0012/865/651/12865651_OR_m.webp,NIKE 耐吉 慢跑鞋 Downshifter 13 Wide 男鞋 寬楦 白 藍 緩震 運動鞋 FJ1284-103,1495,https://24h.pchome.com.tw/prod/DXAX28-A900H38Z2,https://img.pchome.com.tw/cs/items/DXAX28A900H38Z2/000001_1705465816.jpg?width=320
【NIKE 耐吉】慢跑鞋 運動鞋 NIKE AIR ZOOM STRUCTURE 25 男女 A-DJ7883003 B-DJ7883002 精選四款,"1,519",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12981539&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i2.momoshop.com.tw/1720869723/goodsimg/0012/981/539/12981539_OR_m.webp,Asics 亞瑟士 越野跑鞋 GEL-Sonoma 7 GTX 男鞋 女鞋 防水 戶外 運動鞋 4款 單一價 1011B593002,2980,https://24h.pchome.com.tw/prod/DXAX60-A900GJNAM,https://img.pchome.com.tw/cs/items/DXAX60A900GJNAM/000001_1727056496.jpg?width=320
【NIKE 耐吉】Downshifter 13 女鞋 黑白色 運動 舒適 慢跑 耐磨 慢跑鞋 FD6476-001,"1,370",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12303778&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1719378304/goodsimg/0012/303/778/12303778_OR_m.webp,NIKE 耐吉 訓練鞋 Air Max Alpha Trainer 5 男鞋 黑 白 基本款 網布 透氣 運動鞋 DM0829-001,1762,https://24h.pchome.com.tw/prod/DXAX68-A900HP9V6,https://img.pchome.com.tw/cs/items/DXAX68A900HP9V6/000001_1722491893.jpg?width=320
【MIZUNO 美津濃】MIZUNO MAXIMIZER 26 一般型男女款慢跑鞋 K1GA2400XX K1GA2401XX(慢跑鞋),"1,099",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12736363&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1712915956/goodsimg/0012/736/363/12736363_OR_m.webp,NIKE 耐吉 慢跑鞋 Downshifter 12 男鞋 白 銀 路跑 基本款 運動鞋 DD9293-100,1495,https://24h.pchome.com.tw/prod/DXAX28-A900HIAL8,https://img.pchome.com.tw/cs/items/DXAX28A900HIAL8/000001_1716538013.jpg?width=320
【MIZUNO 美津濃】MIZUNO MAXIMIZER 26 慢跑鞋 K1GA240002 K1GA240003 K1GA240004 K1GA240008(慢跑鞋),999,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11709312&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i3.momoshop.com.tw/1724742914/goodsimg/0011/709/312/11709312_OR_m.webp,NIKE 耐吉 籃球鞋 Precision VI 米白 黑 男鞋 低筒 實戰 運動鞋 DD9535-004,1584,https://24h.pchome.com.tw/prod/DXAX2A-A900GZE4R,https://img.pchome.com.tw/cs/items/DXAX2AA900GZE4R/000001_1702003414.jpg?width=320
