momo_name,momo_price,momo_url,momo_pic,PChome_name,PChome_price,PChome_url,PChome_pic
【美食村】O-Hi-Yo元氣土司厚片(12組24片),566,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=2234421&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i1.momoshop.com.tw/1692573029/goodsimg/0002/234/421/2234421_OR_m.webp,i3微澱粉 -低糖好纖手工巧克力吐司265gx2條(271控糖配方 吐司 營養師),909,https://24h.pchome.com.tw/prod/DBCZ6B-A900GG71P,https://img.pchome.com.tw/cs/items/DBCZ6BA900GG71P/000001_1688105306.jpg?width=320
【享喫醣】蛋白能量吐司 10包(無麵粉 無糖 高纖 減醣吐司 減醣麵包),477,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12029511&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i3.momoshop.com.tw/1698483974/goodsimg/0012/029/511/12029511_OR_m.webp,美食村 惡魔可可拔絲牛奶麵包x10盒(65gX6入/盒),1350,https://24h.pchome.com.tw/prod/DBCX3Y-A900H3A6E,https://img.pchome.com.tw/cs/items/DBCX3YA900H3A6E/000001_1705480028.jpg?width=320
【巴特里】招牌爆漿餐包任選3包(10入/包;高雄在地超夯團購),446,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6442450&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1710824537/goodsimg/0006/442/450/6442450_OR_m.webp,i3微澱粉 -低糖好纖手工麵包-巧克力小餐包30顆(271控糖配方 麵包 高蛋白),1809,https://24h.pchome.com.tw/prod/DBCZ0K-A900HTAUA,https://img.pchome.com.tw/cs/items/DBCZ0KA900HTAUA/000001_1726626733.jpg?width=320
【巴特里】奶油餐包10入共3包(爆漿餐包),434,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11568377&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1712392025/goodsimg/0011/568/377/11568377_OR_m.webp,i3微澱粉 -低糖好纖手工軟法麵包145gx2條(271控糖配方 麵包 營養師),729,https://24h.pchome.com.tw/prod/DBCZ6B-A900GALYU,https://img.pchome.com.tw/cs/items/DBCZ6BA900GALYU/000001_1683185883.jpg?width=320
【聖瑪莉】蒜泥厲害、奶酥厲害 3入 X2袋(奶酥、大蒜、麵包),477,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11548927&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i1.momoshop.com.tw/1723266056/goodsimg/0011/548/927/11548927_OR_m.webp,i3微澱粉 -低糖好纖手工麵包-巧克力小餐包48顆(271控糖配方 麵包 高蛋白),2459,https://24h.pchome.com.tw/prod/DBCZ0K-A900HTAW2,https://img.pchome.com.tw/cs/items/DBCZ0KA900HTAW2/000001_1726626915.jpg?width=320
【洪瑞珍】國民酥酥3入組(每入500g共3入 芋頭/蒜香/流沙/草莓/巧克力/火腿 口味任選 佳節聚會團購美食),809,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12135301&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1711088474/goodsimg/0012/135/301/12135301_OR_m.webp,i3微澱粉 -低糖好纖手工麵包-乳酪小餐包48顆(271控糖配方 麵包 高蛋白),2609,https://24h.pchome.com.tw/prod/DBCZ0K-A900HTATC,https://img.pchome.com.tw/cs/items/DBCZ0KA900HTATC/000001_1726626410.jpg?width=320
【吳寶春】雙冠軍麵包4入組(酒釀桂圓*2+ 荔枝玫瑰*2),874,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10729543&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1692403058/goodsimg/0010/729/543/10729543_OR_m.webp,i3微澱粉 -控醣好纖手工巧克力軟法麵包160gx2條(271控糖配方 麵包 營養師),959,https://24h.pchome.com.tw/prod/DBCZ6B-A900GGEX7,https://img.pchome.com.tw/cs/items/DBCZ6BA900GGEX7/000001_1688458322.jpg?width=320
【洪瑞珍】角角餐包2盒組(每盒6入共2盒 奶酥/芋泥/肉鬆 佳節聚會送禮會議餐盒麵包),485,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12249948&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i1.momoshop.com.tw/1709524003/goodsimg/0012/249/948/12249948_OR_m.webp,i3微澱粉 -低糖好纖手工麵包-原味小餐包6顆(271控糖配方 麵包 高蛋白),729,https://24h.pchome.com.tw/prod/DBCZ6B-A900GALFL,https://img.pchome.com.tw/cs/items/DBCZ6BA900GALFL/000001_1683172299.jpg?width=320
【孫東寶】爆漿餐包10入/袋 - 6袋/組,789,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12200097&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i2.momoshop.com.tw/1702023334/goodsimg/0012/200/097/12200097_OR_m.webp,i3微澱粉 -低糖好纖手工麵包-巧克力小餐包15顆(271控糖配方 麵包 高蛋白),1269,https://24h.pchome.com.tw/prod/DBCZ6B-A900GGEQW,https://img.pchome.com.tw/cs/items/DBCZ6BA900GGEQW/000001_1688456721.jpg?width=320
【洪瑞珍】角角餐包3盒組(每盒6入共3盒 奶酥/芋泥/肉鬆 佳節聚會送禮會議餐盒麵包),647,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12249949&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i1.momoshop.com.tw/1709873024/goodsimg/0012/249/949/12249949_OR_m.webp,i3微澱粉 -低糖好纖手工麵包-原味小餐包15顆(271控糖配方 麵包 高蛋白),1089,https://24h.pchome.com.tw/prod/DBCZ6B-A900GALJQ,https://img.pchome.com.tw/cs/items/DBCZ6BA900GALJQ/000001_1683172636.jpg?width=320
