PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
【c+m套餐】微星 b650 gaming plus wifi 主機板 + amd r57600x 處理器,12900,https://24h.pchome.com.tw/prod/DRAI5E-1900HAKU2,https://img.pchome.com.tw/cs/items/DRAI5E1900HAKU2/000001_1710138870.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,9.342346541447453
【c+m套餐】微星 b650 gaming plus wifi 主機板 + amd r58500g 處理器,10458,https://24h.pchome.com.tw/prod/DRAI5E-1900HAKTX,https://img.pchome.com.tw/cs/items/DRAI5E1900HAKTX/000001_1710138982.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,9.342346541447453
【c+m套餐】微星 b650 gaming plus wifi 主機板 + amd r58600g 處理器,12952,https://24h.pchome.com.tw/prod/DRAI5E-1900HAKU0,https://img.pchome.com.tw/cs/items/DRAI5E1900HAKU0/000001_1710138919.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,9.342346541447453
【c+m套餐】微星 b650 gaming plus wifi 主機板 + amd r77700x 處理器,16531,https://24h.pchome.com.tw/prod/DRAI5D-1900HAAHY,https://img.pchome.com.tw/cs/items/DRAI5D1900HAAHY/000001_1709712001.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,9.342346541447453
【c+m套餐】微星 pro b650ma wifi 主機板 + amd r77700x 處理器,15552,https://24h.pchome.com.tw/prod/DRAI5D-1900HAAHB,https://img.pchome.com.tw/cs/items/DRAI5D1900HAAHB/000001_1709715174.jpg?width=320,【amd超值裝機組】r77700x八核心處理器+微星pro b650ma wifi 主機板,"14,975",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11066940&Area=search&mdiv=403&oid=1_3&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692467995/goodsimg/0011/066/940/11066940_OR_m.webp,9.325501742891685
【c+m套餐】微星 pro b650ma wifi 主機板 + amd r57600x 處理器,11921,https://24h.pchome.com.tw/prod/DRAI5E-1900HAKTA,https://img.pchome.com.tw/cs/items/DRAI5E1900HAKTA/000001_1710138662.jpg?width=320,【msi 微星】u+板組合 r57600x六核心處理器 ★ pro b650ma wifi主機板,"11,519",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11066828&Area=search&mdiv=403&oid=1_6&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i3.momoshop.com.tw/1692467715/goodsimg/0011/066/828/11066828_OR_m.webp,8.755961224921014
【c+m套餐】微星 b650m gaming plus wifi 主機板 + amd r58600g 處理器,12000,https://24h.pchome.com.tw/prod/DRAI5E-1900HMI6N,https://img.pchome.com.tw/cs/items/DRAI5E1900HMI6N/000001_1720079232.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,7.8165866418289704
【c+m套餐】微星 b650m gaming plus wifi 主機板 + amd r77700x 處理器,15579,https://24h.pchome.com.tw/prod/DRAI5D-1900HMI6T,https://img.pchome.com.tw/cs/items/DRAI5D1900HMI6T/000001_1720079595.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,7.8165866418289704
【c+m套餐】微星 b650m gaming plus wifi 主機板 + amd r57600x 處理器,11947,https://24h.pchome.com.tw/prod/DRAI5E-1900HMI60,https://img.pchome.com.tw/cs/items/DRAI5E1900HMI60/000001_1720079528.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,7.8165866418289704
【c+m套餐】微星 b650m gaming plus wifi 主機板 + amd r58500g 處理器,9505,https://24h.pchome.com.tw/prod/DRAI5E-1900HMI6M,https://img.pchome.com.tw/cs/items/DRAI5E1900HMI6M/000001_1720079270.jpg?width=320,【amd 超微】u+板組合 ryzen 58600g 六核心處理器+微星b650 gaming plus wifi 主機板,"11,423",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12626289&Area=search&mdiv=403&oid=1_4&cid=index&kw=amd_%E8%BF%B7%E4%BD%A0%E4%B8%BB%E6%A9%9F,https://i2.momoshop.com.tw/1710150301/goodsimg/0012/626/289/12626289_OR_m.webp,7.8165866418289704
