PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
nvidia 輝達 rtx4070 super founders edition 創始版 顯示卡,21990,https://24h.pchome.com.tw/prod/DRADD4-A900HO1WP,https://img.pchome.com.tw/cs/items/DRADD4A900HO1WP/000001_1723173900.jpg?width=320,【nvidia】rtx4070 super founders edition 創始版 顯示卡,"21,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13061011&Area=search&mdiv=403&oid=1_21&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i1.momoshop.com.tw/1721365601/goodsimg/0013/061/011/13061011_OR_m.webp,17.093736003982716
zotac gaming geforce rtx 4060 8gb twin edge oc white edition 顯示卡,10490,https://24h.pchome.com.tw/prod/DRADLX-A900GLAC2,https://img.pchome.com.tw/cs/items/DRADLXA900GLAC2/000001_1692351023.jpg?width=320,【zotac 索泰】gaming geforce rtx 4060 8gb twin edge oc white edition 顯示卡,"8,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11720600&Area=search&mdiv=403&oid=2_6&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i4.momoshop.com.tw/1692569072/goodsimg/0011/720/600/11720600_OR_m.webp,15.478750200752934
zotac gaming geforce rtx 4060 ti 8gb twin edge oc white 顯示卡,12990,https://24h.pchome.com.tw/prod/DRADLX-A900GECSN,https://img.pchome.com.tw/cs/items/DRADLXA900GECSN/000001_1686211679.jpg?width=320,【zotac 索泰】gaming geforce rtx 4060 ti 8gb twin edge oc white edition 顯示卡,"12,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11720598&Area=search&mdiv=403&oid=1_19&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i2.momoshop.com.tw/1692569050/goodsimg/0011/720/598/11720598_OR_m.webp,14.189983280191623
asus 華碩 tuf gaming geforce rtx 4060 ti 8gb gddr6 oc edition 顯示卡,13990,https://24h.pchome.com.tw/prod/DRADKY-A900GCL5G,https://img.pchome.com.tw/cs/items/DRADKYA900GCL5G/000001_1684739037.jpg?width=320,【asus 華碩】tuf gaming geforce rtx 4060 ti 8gb gddr6 oc超頻版 顯示卡,"13,890",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11823367&Area=search&mdiv=403&oid=2_17&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i1.momoshop.com.tw/1700145982/goodsimg/0011/823/367/11823367_OR_m.webp,13.93646571071659
asus 華碩 asus_華碩rogstrixrtx4070tiso16ggaming 顯示卡,34490,https://24h.pchome.com.tw/prod/DSBC0O-A900HSOGX,https://img.pchome.com.tw/cs/items/DSBC0OA900HSOGX/000001_1725951238.jpg?width=320,【asus 華碩】rogstrixrtx4070tiso16ggaming 顯示卡,"34,490",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12483104&Area=search&mdiv=403&oid=1_26&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i2.momoshop.com.tw/1706245506/goodsimg/0012/483/104/12483104_OR_m.webp,13.674041898375782
asus 華碩 tuf gaming geforce rtx 4070 oc 12gb 顯示卡,20990,https://24h.pchome.com.tw/prod/DRADKY-A900GBCKH,https://img.pchome.com.tw/cs/items/DRADKYA900GBCKH/000001_1683786256.jpg?width=320,【asus 華碩】tuf gaming geforce rtx 4070 12gb 顯示卡,"20,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12249327&Area=search&mdiv=403&oid=2_5&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i4.momoshop.com.tw/1703148619/goodsimg/0012/249/327/12249327_OR_m.webp,13.660569279409426
gigabyte 技嘉 geforce rtx 4060 eagle oc ice 8g 顯示卡,11090,https://24h.pchome.com.tw/prod/DRADL2-A900HBIBX,https://img.pchome.com.tw/cs/items/DRADL2A900HBIBX/000001_1710834153.jpg?width=320,【gigabyte 技嘉】geforce rtx 4060 eagle oc ice 8g 顯示卡(gvn4060eagleoc ice8gd),"11,090",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12945574&Area=search&mdiv=403&oid=2_30&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i2.momoshop.com.tw/1718341323/goodsimg/0012/945/574/12945574_OR_m.webp,13.515388654821658
msi 微星 geforce rtx 3050 ventus 2x 6g oc 顯示卡,5990,https://24h.pchome.com.tw/prod/DRADLA-A900H9DFX,https://img.pchome.com.tw/cs/items/DRADLAA900H9DFX/000001_1708837602.jpg?width=320,【msi 微星】geforce rtx 3050 ventus 2x 6g oc 顯示卡,"5,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12541809&Area=search&mdiv=403&oid=1_2&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i4.momoshop.com.tw/1708232586/goodsimg/0012/541/809/12541809_OR_m.webp,13.430046799735402
gigabyte 技嘉 geforce rtx 4060 ti windforce oc 16g 顯示卡,14990,https://24h.pchome.com.tw/prod/DRADL2-A900HLY1U,https://img.pchome.com.tw/cs/items/DRADL2A900HLY1U/000001_1726709363.jpg?width=320,【gigabyte 技嘉】geforce rtx 4060 ti windforce oc 16g 顯示卡,"14,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12870928&Area=search&mdiv=403&oid=2_21&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i3.momoshop.com.tw/1723090922/goodsimg/0012/870/928/12870928_OR_m.webp,13.07468856124956
msi 微星 geforce rtx 4060 ti ventus 2x black 16g oc 顯示卡,14990,https://24h.pchome.com.tw/prod/DRADLA-A900GJ7G3,https://img.pchome.com.tw/cs/items/DRADLAA900GJ7G3/000001_1711346235.jpg?width=320,【msi 微星】geforce rtx 4060 ti ventus 2x black 16g oc 顯示卡,"14,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11671411&Area=search&mdiv=403&oid=2_8&cid=index&kw=rtx+%E9%A1%AF%E7%A4%BA%E5%8D%A1,https://i3.momoshop.com.tw/1711358357/goodsimg/0011/671/411/11671411_OR_m.webp,12.669668562137476
