PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
hader 六合一 typec 多功能平板hub轉接器 switch轉hdtv轉接頭 平板支架 rj45 pd充電底座,1699,https://24h.pchome.com.tw/prod/DCADJ5-A900HIYM3,https://img.pchome.com.tw/cs/items/DCADJ5A900HIYM3/000001_1717139323.jpg?width=320,【antian】六合一 typec 多功能平板hub轉接器 switch轉hdtv轉接頭 平板支架 rj45 pd充電底座,"1,070",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12892669&Area=search&mdiv=403&oid=1_27&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i3.momoshop.com.tw/1716958931/goodsimg/0012/892/669/12892669_OR_m.webp,20.903561827729728
flashfire ns switch 第三代藍芽影音加強版 底座支架 鋼鐵紅gs2500 也支援switch oled主機,1690,https://24h.pchome.com.tw/prod/DGBJC0-A900A5704,https://img.pchome.com.tw/cs/items/DGBJC0A900A5704/000001_1562830904.jpg?width=320,【flashfire】switch 副廠 第三代藍芽影音加強版 底座支架 鋼鐵紅gs2500(支援switch及switch oled主機),"1,690",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6829859&Area=search&mdiv=403&oid=1_14&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i4.momoshop.com.tw/1692716792/goodsimg/0006/829/859/6829859_OR_m.webp,16.675301006288034
hagibis 海備思 switch便攜底座 視訊採集卡/hdmi/pd100w 紅藍色,1990,https://24h.pchome.com.tw/prod/DCAX3W-A900H8QFG,https://img.pchome.com.tw/cs/items/DCAX3WA900H8QFG/000001_1709023827.jpg?width=320,【hagibis海備思】switch便攜底座 視訊採集卡/hdmi/pd100w,"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12552346&Area=search&mdiv=403&oid=1_2&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1717650380/goodsimg/0012/552/346/12552346_OR_m.webp,15.176641618261726
hagibis 海備思 switch便攜底座 視訊採集卡/hdmi/pd100w 黑白色,1990,https://24h.pchome.com.tw/prod/DCAX3W-A900H8QGJ,https://img.pchome.com.tw/cs/items/DCAX3WA900H8QGJ/000001_1708420763.jpg?width=320,【hagibis海備思】switch便攜底座 視訊採集卡/hdmi/pd100w,"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12552346&Area=search&mdiv=403&oid=1_2&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1717650380/goodsimg/0012/552/346/12552346_OR_m.webp,15.176641618261726
hagibis 海備思 switch便攜底座 視訊採集卡/hdmi/pd100w 黑金色,1990,https://24h.pchome.com.tw/prod/DCAX3W-A900HJEF3,https://img.pchome.com.tw/cs/items/DCAX3WA900HJEF3/000001_1717554618.jpg?width=320,【hagibis海備思】switch便攜底座 視訊採集卡/hdmi/pd100w,"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12552346&Area=search&mdiv=403&oid=1_2&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1717650380/goodsimg/0012/552/346/12552346_OR_m.webp,15.176641618261726
flashfire gaming supply choco switch迷你巧克力底座,450,https://24h.pchome.com.tw/prod/DGBJC0-A900AMRH7,https://img.pchome.com.tw/cs/items/DGBJC0A900AMRH7/000001_1588061035.jpg?width=320,【flashfire】gaming supply choco switch副廠 迷你巧克力底座,450,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7631186&Area=search&mdiv=403&oid=1_1&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i4.momoshop.com.tw/1692814042/goodsimg/0007/631/186/7631186_OR_m.webp,14.94287344656342
iine 良值 nintendo switch joycon 4in1充電底座(公司貨) l372,599,https://24h.pchome.com.tw/prod/DGBJC0-A900AVW8F,https://img.pchome.com.tw/cs/items/DGBJC0A900AVW8F/000001_1689055729.jpg?width=320,【良值】switch 副廠 joycon 4in1充電底座 l372(公司貨),450,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8187389&Area=search&mdiv=403&oid=1_28&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i4.momoshop.com.tw/1692976175/goodsimg/0008/187/389/8187389_OR_m.webp,12.905369913145343
switch 底座外掛擴充joycon手把控制器充電座mini版,550,https://24h.pchome.com.tw/prod/QAAS33-A900AK2UB,https://img.pchome.com.tw/cs/items/QAAS33A900AK2UB/000001_1699942136.jpg?width=320,【nintendo 任天堂】switch底座外掛擴充joycon手把控制器充電座(mini版),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7527977&Area=search&mdiv=403&oid=1_17&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i1.momoshop.com.tw/1692806168/goodsimg/0007/527/977/7527977_OR_m.webp,12.706560212105337
hagibis 海備思 switch便攜底座ns視訊採集卡+hdmi轉換器+pd供電(黑白色swc06wh,1968,https://24h.pchome.com.tw/prod/DCAD0A-A900GBRWC,https://img.pchome.com.tw/cs/items/DCAD0AA900GBRWC/000001_1684135894.jpg?width=320,【hagibis海備思】switch便攜底座 視訊採集卡/hdmi/pd100w,"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12552346&Area=search&mdiv=403&oid=1_2&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1717650380/goodsimg/0012/552/346/12552346_OR_m.webp,12.672347566884781
hagibis 海備思 switch便攜底座ns視訊採集卡+hdmi轉換器+pd供電(紅藍色swc06bl,1968,https://24h.pchome.com.tw/prod/DCAD0A-A900GBSZF,https://img.pchome.com.tw/cs/items/DCAD0AA900GBSZF/000001_1684152319.jpg?width=320,【hagibis海備思】switch便攜底座 視訊採集卡/hdmi/pd100w,"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12552346&Area=search&mdiv=403&oid=1_2&cid=index&kw=switch_%E5%BA%95%E5%BA%A7,https://i2.momoshop.com.tw/1717650380/goodsimg/0012/552/346/12552346_OR_m.webp,12.672347566884781
