PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
廣生堂越南龍芽燕盞冰糖燕窩飲(145ml/2入)加nana燕萃皇家乳清滋潤香皂x1,6615,https://24h.pchome.com.tw/prod/DBAXD2-A900H2J81,https://img.pchome.com.tw/cs/items/DBAXD2A900H2J81/000001_1718865282.jpg?width=320,【廣生堂】廣生堂越南龍芽燕盞冰糖燕窩飲(145ml/2入加 nana 燕萃皇家乳清滋潤香皂 x1),"6,615",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354986&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1705309996/goodsimg/0012/354/986/12354986_OR_m.webp,25.06816746828417
廣生堂 濃縮冰糖燕窩飲(145ml/2入)加 加 nana 燕萃皇家乳清滋潤香皂 x1,5447,https://24h.pchome.com.tw/prod/DBAXD2-A900H2R6L,https://img.pchome.com.tw/cs/items/DBAXD2A900H2R6L/000001_1718863926.jpg?width=320,【廣生堂】廣生堂越南龍芽燕盞冰糖燕窩飲(145ml/2入加 nana 燕萃皇家乳清滋潤香皂 x1),"6,615",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354986&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1705309996/goodsimg/0012/354/986/12354986_OR_m.webp,21.226815796006132
廣生堂 原珍濃縮冰糖燕窩飲(145ml/2入)加nana燕萃皇家乳清滋潤香皂x1,5229,https://24h.pchome.com.tw/prod/DBAXD2-A900H2IIC,https://img.pchome.com.tw/cs/items/DBAXD2A900H2IIC/000001_1718862321.jpg?width=320,【廣生堂】廣生堂越南龍芽燕盞冰糖燕窩飲(145ml/2入加 nana 燕萃皇家乳清滋潤香皂 x1),"6,615",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354986&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1705309996/goodsimg/0012/354/986/12354986_OR_m.webp,21.226815796006132
廣生堂 珍冰糖燕窩飲原(60ml)6入禮盒買 2加nana 燕萃皇家乳清滋潤香皂 x1,4809,https://24h.pchome.com.tw/prod/DBBAA0-A900H2G3X,https://img.pchome.com.tw/cs/items/DBBAA0A900H2G3X/000001_1718834932.jpg?width=320,【廣生堂】廣生堂越南龍芽燕盞冰糖燕窩飲(145ml/2入加 nana 燕萃皇家乳清滋潤香皂 x1),"6,615",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354986&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1705309996/goodsimg/0012/354/986/12354986_OR_m.webp,19.30613995986711
廣生堂 龍紋燕盞冰糖燕窩(140ml/2入)加nana燕萃皇家乳清滋潤香皂x1,6195,https://24h.pchome.com.tw/prod/DBAXD2-A900H2IQH,https://img.pchome.com.tw/cs/items/DBAXD2A900H2IQH/000001_1704713911.jpg?width=320,【廣生堂】廣生堂越南龍芽燕盞冰糖燕窩飲(145ml/2入加 nana 燕萃皇家乳清滋潤香皂 x1),"6,615",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354986&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1705309996/goodsimg/0012/354/986/12354986_OR_m.webp,19.30613995986711
廣生堂 珍冰糖燕窩飲原(60ml)15入禮盒加nana燕萃皇家乳清保濕香皂x1,6287,https://24h.pchome.com.tw/prod/DBBAA0-A900H2G3J,https://img.pchome.com.tw/cs/items/DBBAA0A900H2G3J/000001_1718862840.jpg?width=320,【廣生堂】廣生堂越南龍芽燕盞冰糖燕窩飲(145ml/2入加 nana 燕萃皇家乳清滋潤香皂 x1),"6,615",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354986&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1705309996/goodsimg/0012/354/986/12354986_OR_m.webp,17.074521530370312
御華生 頂級燕窩禮盒組 濃燕盞+冰糖雪梨燕窩+蜂蜜各2入 (共6入/盒) 中秋禮盒,3240,https://24h.pchome.com.tw/prod/DBAX71-A900G8DFS,https://img.pchome.com.tw/cs/items/DBAX71A900G8DFS/000001_1707968764.jpg?width=320,【御華生】頂級濃燕盞2入+冰糖雪梨燕窩2入+蜂蜜80g 2入 禮盒組(附提袋 禮盒),"3,240",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11264921&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i4.momoshop.com.tw/1707991933/goodsimg/0011/264/921/11264921_OR_m.webp,15.119285241205423
廣生堂 _廣生堂【2024幸福送禮】越南龍芽燕盞冰糖燕窩飲145ml6入,22180,https://24h.pchome.com.tw/prod/DBDA1I-A900HTDKY,https://img.pchome.com.tw/cs/items/DBDA1IA900HTDKY/000001_1726657671.jpg?width=320,【廣生堂】越南龍芽燕盞冰糖燕窩145ml,"3,200",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9718921&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1699348041/goodsimg/0009/718/921/9718921_OR_m.webp,13.883258286826715
廣生堂 越南龍芽燕盞冰糖燕窩飲(145ml/6入)加na 枇 30p 或女寶膏 30p 任選 1,18375,https://24h.pchome.com.tw/prod/DBAXD2-A900H2J8O,https://img.pchome.com.tw/cs/items/DBAXD2A900H2J8O/000001_1718945322.jpg?width=320,【廣生堂】越南龍芽燕盞冰糖燕窩145ml,"3,200",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9718921&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i1.momoshop.com.tw/1699348041/goodsimg/0009/718/921/9718921_OR_m.webp,13.883258286826715
御華生 頂級燕窩禮盒組 濃燕盞+冰糖雪梨燕窩各3入 共6入/盒 中秋禮盒,4450,https://24h.pchome.com.tw/prod/DBAX71-A900G8DGK,https://img.pchome.com.tw/cs/items/DBAX71A900G8DGK/000001_1707967581.jpg?width=320,【御華生】頂級濃燕盞2入+冰糖雪梨燕窩2入+蜂蜜80g 2入 禮盒組(附提袋 禮盒),"3,240",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11264921&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E5%86%B0%E7%B3%96%E7%87%95%E7%AA%A9,https://i4.momoshop.com.tw/1707991933/goodsimg/0011/264/921/11264921_OR_m.webp,12.776997636157839
