PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
韓風天然無毒有機棉寶寶安撫手搖鈴娃娃 嬰兒安撫巾 發聲安撫玩具 嬰兒玩具 有聲手搖鈴【萌萌兔2入組】,299,https://24h.pchome.com.tw/prod/DEAIKI-A900F27XA,https://img.pchome.com.tw/cs/items/DEAIKIA900F27XA/000001_1652953152.jpg?width=320,【ocean baby】嬰兒抓握手搖鈴2入組(嬰兒玩具/嬰兒/嬰兒玩具/學習/玩具/彌月禮/新生兒),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10688490&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i1.momoshop.com.tw/1704531991/goodsimg/0010/688/490/10688490_OR_m.webp,11.10202495623863
韓風天然無毒有機棉寶寶安撫手搖鈴娃娃 嬰兒安撫巾 發聲安撫玩具 嬰兒玩具 有聲手搖鈴【奶油獅2入組】,299,https://24h.pchome.com.tw/prod/DEAIKI-A900F27XO,https://img.pchome.com.tw/cs/items/DEAIKIA900F27XO/000001_1652952938.jpg?width=320,【ocean baby】嬰兒抓握手搖鈴2入組(嬰兒玩具/嬰兒/嬰兒玩具/學習/玩具/彌月禮/新生兒),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10688490&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i1.momoshop.com.tw/1704531991/goodsimg/0010/688/490/10688490_OR_m.webp,11.10202495623863
韓風天然無毒有機棉寶寶安撫手搖鈴娃娃 嬰兒安撫巾 發聲安撫玩具 杏色嬰兒玩具 有聲手搖鈴【小熊2入組】,299,https://24h.pchome.com.tw/prod/DEAIKI-A900F27XV,https://img.pchome.com.tw/cs/items/DEAIKIA900F27XV/000001_1652953181.jpg?width=320,【ocean baby】嬰兒抓握手搖鈴2入組(嬰兒玩具/嬰兒/嬰兒玩具/學習/玩具/彌月禮/新生兒),499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10688490&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i1.momoshop.com.tw/1704531991/goodsimg/0010/688/490/10688490_OR_m.webp,11.10202495623863
fisherprice 費雪牌 【奇哥】 費雪 安撫睡眠/音樂震動小海象,769,https://24h.pchome.com.tw/prod/DEASS1-A900BV9AN,https://img.pchome.com.tw/cs/items/DEASS1A900BV9AN/000001_1634093042.jpg?width=320,【fisher price 費雪】安撫睡眠/音樂震動小海象(安撫玩具/寶寶玩伴/寶寶安撫),700,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9433514&Area=search&mdiv=403&oid=1_22&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i3.momoshop.com.tw/1693005033/goodsimg/0009/433/514/9433514_OR_m.webp,10.176524142729415
【英國sweet dreamers】甜夢綿羊2件組(綿羊頂級2.0+安撫巾) 安撫寶寶的輕柔旋律,2548,https://24h.pchome.com.tw/prod/DWAC94-A900HF62K,https://img.pchome.com.tw/cs/items/DWAC94A900HF62K/000001_1713940191.jpg?width=320,【英國甜夢綿羊ewan】寶寶哄睡 安撫玩偶(頂級款2.0灰),"1,665",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7417500&Area=search&mdiv=403&oid=2_17&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i1.momoshop.com.tw/1692801965/goodsimg/0007/417/500/7417500_OR_m.webp,9.802946090762582
omrui 點點豆玩偶安撫巾 捏捏啃咬安撫玩偶 哄睡玩偶 抱枕 嬰兒安撫巾 安撫娃娃 彌月禮,367,https://24h.pchome.com.tw/prod/DWACLR-A900GD3ZE,https://img.pchome.com.tw/cs/items/DWACLRA900GD3ZE/000001_1685068421.jpg?width=320,【ocean baby】啟蒙抓握安撫巾娃娃(嬰兒玩具/嬰兒/學習/玩具/啟蒙/彌月禮/新生兒/安撫巾),459,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10688492&Area=search&mdiv=403&oid=1_5&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i1.momoshop.com.tw/1692398540/goodsimg/0010/688/492/10688492_OR_m.webp,9.440984135351975
mesenfants 安撫玩偶 寶寶陪睡有機棉安撫娃娃 嬰兒玩偶 安撫玩具,419,https://24h.pchome.com.tw/prod/DWAC84-A900HLU20,https://img.pchome.com.tw/cs/items/DWAC84A900HLU20/000001_1719392975.jpg?width=320,【trixie 比利時】有機棉安撫玩偶大 多款可選(娃娃 彌月禮),"1,480",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9585630&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i4.momoshop.com.tw/1699430660/goodsimg/0009/585/630/9585630_OR_m.webp,9.193143682864727
【英國sweet dreamers】甜夢綿羊頂級版2.0(紫) 有如媽媽在身旁的安心,1850,https://24h.pchome.com.tw/prod/DWAC94-A900GOELZ,https://img.pchome.com.tw/cs/items/DWAC94A900GOELZ/000001_1695264405.jpg?width=320,【英國甜夢綿羊ewan】寶寶哄睡 安撫玩偶(頂級款2.0灰),"1,665",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=7417500&Area=search&mdiv=403&oid=2_17&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i1.momoshop.com.tw/1692801965/goodsimg/0007/417/500/7417500_OR_m.webp,8.804680512795583
mamas & papas 柯爾鴨(玩偶),890,https://24h.pchome.com.tw/prod/DEASD5-A900HT744,https://img.pchome.com.tw/cs/items/DEASD5A900HT744/000001_1726477520.jpg?width=320,【mamas & papas】柯爾鴨呱呱粉(搖鈴吊飾玩偶),417,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10202121&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i3.momoshop.com.tw/1692214235/goodsimg/0010/202/121/10202121_OR_m.webp,8.065005091804617
snuggle 【史納哥】安撫絨毛玩偶娃娃奶嘴夾小呆萌小藍熊,350,https://24h.pchome.com.tw/prod/QFAT7T-B900AIH9G,https://img.pchome.com.tw/cs/items/QFAT7TB900AIH9G/000001_1669879671.jpg?width=320,【ohbabylaugh】奶嘴 安撫玩偶(安撫玩具/奶嘴玩偶/絨毛娃娃/奶嘴防掉鍊/奶嘴防掉鏈),304,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9510806&Area=search&mdiv=403&oid=2_27&cid=index&kw=%E5%AE%89%E6%92%AB%E5%A8%83%E5%A8%83,https://i4.momoshop.com.tw/1718859756/goodsimg/0009/510/806/9510806_OR_m.webp,7.658447912573838
