PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
only 節能高效20l美型微波爐om20g47復古夢露粉 福利品(節能標章/20公升/機械式),1999,https://24h.pchome.com.tw/prod/DMBJ00-1900HC5N3,https://img.pchome.com.tw/cs/items/DMBJ001900HC5N3/000001_1724896921.jpg?width=320,【only】節能高效20l美型微波爐3色任選(福利品20公升機械式節能標章),"1,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12504041&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1724907804/goodsimg/0012/504/041/12504041_OR_m.webp,15.733836415602763
only 節能高效20l美型微波爐om20m22簡約白(節能標章20公升機械式),2490,https://24h.pchome.com.tw/prod/DMBJ00-A900HI51Q,https://img.pchome.com.tw/cs/items/DMBJ00A900HI51Q/000001_1724814667.jpg?width=320,【only】節能高效20l美型微波爐3色任選(福利品20公升機械式節能標章),"1,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12504041&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1724907804/goodsimg/0012/504/041/12504041_OR_m.webp,14.320223278538782
only 節能高效20l美型微波爐om20m24質感黑(節能標章20公升機械式),2490,https://24h.pchome.com.tw/prod/DMBJ00-A900HI584,https://img.pchome.com.tw/cs/items/DMBJ00A900HI584/000001_1724814759.jpg?width=320,【only】節能高效20l美型微波爐3色任選(福利品20公升機械式節能標章),"1,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12504041&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1724907804/goodsimg/0012/504/041/12504041_OR_m.webp,14.320223278538782
only 節能高效20l復古簡約微波爐om20g47夢露粉(節能標章20公升機械式),2990,https://24h.pchome.com.tw/prod/DMBJ00-A900H0ETF,https://img.pchome.com.tw/cs/items/DMBJ00A900H0ETF/000001_1724814543.jpg?width=320,【only】節能高效20l美型微波爐3色任選(福利品20公升機械式節能標章),"1,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12504041&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1724907804/goodsimg/0012/504/041/12504041_OR_m.webp,13.418141349644838
electrolux 伊萊克斯 【南紡購物中心】 20l 極致美味300 獨立式微波爐 emm20k22b,3490,https://24h.pchome.com.tw/prod/DMBM0G-A900G8DNV,https://img.pchome.com.tw/cs/items/DMBM0GA900G8DNV/000001_1681383626.jpg?width=320,【electrolux 伊萊克斯】極致美味300 20l 獨立式微波爐(emm20k22b 黑色),"1,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11443608&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1727057632/goodsimg/0011/443/608/11443608_OR_m.webp,12.64222283338049
chimei 奇美 25l黑晶平台機械式微波爐 mv25c1fk,2980,https://24h.pchome.com.tw/prod/DMBJ01-A900HDB7B,https://img.pchome.com.tw/cs/items/DMBJ01A900HDB7B/000001_1712542366.jpg?width=320,【chimei 奇美】25l黑晶平台機械式微波爐(mv25c1fk),"2,980",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12681403&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1711515799/goodsimg/0012/681/403/12681403_OR_m.webp,12.466568600989842
whirlpool 惠而浦 30l微電腦觸控式微波爐 mwg030ew,3190,https://24h.pchome.com.tw/prod/DMBJ02-A900F4M9Q,https://img.pchome.com.tw/cs/items/DMBJ02A900F4M9Q/000001_1724642488.jpg?width=320,【whirlpool 惠而浦】30l微電腦觸控式微波爐(mwg030ew),"2,990",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8313228&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1701162256/goodsimg/0008/313/228/8313228_OR_m.webp,12.28802396259611
sampo 聲寶 天廚20l微電腦觸控式平台微波爐 reb020pm,3490,https://24h.pchome.com.tw/prod/DMBJ0I-A900B4DVH,https://img.pchome.com.tw/cs/items/DMBJ0IA900B4DVH/000001_1685954592.jpg?width=320,【sampo 聲寶】天廚20l微電腦觸控式平台微波爐(reb020pm),"3,390",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8481751&Area=search&mdiv=403&oid=1_25&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1705741607/goodsimg/0008/481/751/8481751_OR_m.webp,11.369206456524331
whirlpool 惠而浦  20l觸控式微電腦微波爐(wmwe200s),2590,https://24h.pchome.com.tw/prod/DMBJ00-A900H220L,https://img.pchome.com.tw/cs/items/DMBJ00A900H220L/000001_1704176780.jpg?width=320,【whirlpool 惠而浦】☆20l觸控式微電腦微波爐(wmwe200s),"2,590",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8037105&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1709177599/goodsimg/0008/037/105/8037105_OR_m.webp,11.304409978491687
panasonic 國際牌 20公升微電腦燒烤微波爐 nngt25jb,3638,https://24h.pchome.com.tw/prod/DMBJ0G-A900BSWUK,https://img.pchome.com.tw/cs/items/DMBJ0GA900BSWUK/000001_1671502918.jpg?width=320,【panasonic 國際牌】20公升燒烤微波爐(nngt25jb),"3,638",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9327215&Area=search&mdiv=403&oid=1_9&cid=index&kw=%E5%BE%AE%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1724735034/goodsimg/0009/327/215/9327215_OR_m.webp,11.262951579133482
