PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
智能感應垃圾桶 12l sease 小米感應式垃圾桶 小米有品 智能垃圾桶 垃圾桶 垃圾筒 電動垃圾筒 紅外線垃圾桶,499,https://24h.pchome.com.tw/prod/DEBUMQ-A900G1KFN,https://img.pchome.com.tw/cs/items/DEBUMQA900G1KFN/000001_1721198013.jpg?width=320,【小米有品】lydsto 智能開蓋垃圾桶 16l(垃圾桶 垃圾筒 電動垃圾筒 感應式垃圾桶),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11968339&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1698743448/goodsimg/0011/968/339/11968339_OR_m.webp,17.565564259048585
ligfe 立格扉 臭氧自動感應方型垃圾桶 奶油白 藍灰色 25l 智能感應 方型不鏽鋼垃圾桶,1990,https://24h.pchome.com.tw/prod/DQAU56-A900GMG3I,https://img.pchome.com.tw/cs/items/DQAU56A900GMG3I/000001_1719912313.jpg?width=320,【ligfe 立格扉】臭氧自動感應方型垃圾桶三色可選(25l 智能感應 方型不鏽鋼垃圾桶),"1,911",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11670142&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i1.momoshop.com.tw/1719983027/goodsimg/0011/670/142/11670142_OR_m.webp,15.463268381150655
ligfe 立格扉 臭氧自動感應方型垃圾桶藍灰色 25l 智能感應 方型不鏽鋼垃圾桶,1839,https://24h.pchome.com.tw/prod/DQAU56-A900HJ9N4,https://img.pchome.com.tw/cs/items/DQAU56A900HJ9N4/000001_1717473031.jpg?width=320,【ligfe 立格扉】臭氧自動感應方型垃圾桶三色可選(25l 智能感應 方型不鏽鋼垃圾桶),"1,911",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11670142&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i1.momoshop.com.tw/1719983027/goodsimg/0011/670/142/11670142_OR_m.webp,15.463268381150655
ninestars 美國 智能法式純白感應垃圾桶7l+按壓式垃圾桶3l(防潑水/遠紅外線感應),1198,https://24h.pchome.com.tw/prod/DEBAPW-A900F6QZF,https://img.pchome.com.tw/cs/items/DEBAPWA900F6QZF/000001_1702531797.jpg?width=320,【美國ninestars】智能法式純白防水感應垃圾桶7l(防潑水/遠紅外線感應),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=8916725&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1715051799/goodsimg/0008/916/725/8916725_OR_m.webp,14.829978404184361
kyhome usb智能感應垃圾桶 自動掀蓋/雙模式 11l 家用廚房防臭垃圾桶 (揮手感應+屈膝感應),549,https://24h.pchome.com.tw/prod/DQAUG6-A900HCX91,https://img.pchome.com.tw/cs/items/DQAUG6A900HCX91/000001_1713344550.jpg?width=320,【kyhome】智能感應垃圾桶 自動掀蓋 家用防臭垃圾桶(11l 雙模式),559,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12727559&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i3.momoshop.com.tw/1714378739/goodsimg/0012/727/559/12727559_OR_m.webp,14.818991293490802
納仕達智能感應垃圾桶7l 小米有品 感應式垃圾桶 垃圾桶 垃圾筒 電動垃圾筒 紅外線垃圾桶,899,https://24h.pchome.com.tw/prod/DQBKAF-A900G9C82,https://img.pchome.com.tw/cs/items/DQBKAFA900G9C82/000001_1726825225.jpg?width=320,【小米有品】lydsto 智能開蓋垃圾桶 16l(垃圾桶 垃圾筒 電動垃圾筒 感應式垃圾桶),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11968339&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1698743448/goodsimg/0011/968/339/11968339_OR_m.webp,14.674854607047315
納仕達智能感應垃圾桶9l 小米有品 感應式垃圾桶 垃圾桶 垃圾筒 電動垃圾筒 紅外線垃圾桶,999,https://24h.pchome.com.tw/prod/DQBKAF-A900G9C7O,https://img.pchome.com.tw/cs/items/DQBKAFA900G9C7O/000001_1726825324.jpg?width=320,【小米有品】lydsto 智能開蓋垃圾桶 16l(垃圾桶 垃圾筒 電動垃圾筒 感應式垃圾桶),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11968339&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i2.momoshop.com.tw/1698743448/goodsimg/0011/968/339/11968339_OR_m.webp,14.674854607047315
ligfe 立格扉 臭氧自動感應方型垃圾桶藍灰色13l 智能感應 方型不鏽鋼垃圾桶,1680,https://24h.pchome.com.tw/prod/DQAU56-A900HJBAN,https://img.pchome.com.tw/cs/items/DQAU56A900HJBAN/000001_1717490686.jpg?width=320,【ligfe 立格扉】臭氧自動感應方型垃圾桶三色可選(25l 智能感應 方型不鏽鋼垃圾桶),"1,911",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11670142&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i1.momoshop.com.tw/1719983027/goodsimg/0011/670/142/11670142_OR_m.webp,13.930960605422296
ninestars 防潑水時尚白色感應式垃圾桶 12l(/遠紅外線感應),1140,https://24h.pchome.com.tw/prod/DAAC1D-A900HAQPN,https://img.pchome.com.tw/cs/items/DAAC1DA900HAQPN/000001_1710147752.jpg?width=320,【ninestars】防潑水時尚白色感應式垃圾桶 12l(/遠紅外線感應),"1,198",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12629715&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1715051838/goodsimg/0012/629/715/12629715_OR_m.webp,13.920189308266778
ninestars 防潑水時尚白色感應式垃圾桶 12l(沃爾瑪暢銷新款/遠紅外線感應),1140,https://24h.pchome.com.tw/prod/DQAU56-A900HAQNQ,https://img.pchome.com.tw/cs/items/DQAU56A900HAQNQ/000001_1726819203.jpg?width=320,【ninestars】防潑水時尚白色感應式垃圾桶 12l(/遠紅外線感應),"1,198",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12629715&Area=search&mdiv=403&oid=1_7&cid=index&kw=%E6%84%9F%E6%87%89%E5%9E%83%E5%9C%BE%E6%A1%B6,https://i4.momoshop.com.tw/1715051838/goodsimg/0012/629/715/12629715_OR_m.webp,13.920189308266778
