PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
【spraypal噴寶】氣炸鍋專用洗滌噴霧250ml泡沫式橄欖皂液獨特配方,199,https://24h.pchome.com.tw/prod/DAAZ7V-A900BLLPJ,https://img.pchome.com.tw/cs/items/DAAZ7VA900BLLPJ/000001_1627359216.jpg?width=320,【spraypal噴寶】橄欖皂液泡沫式氣炸鍋專用洗滌噴霧(氣炸鍋、水波爐、烤箱、抽油煙機、樂扣保鮮盒、保溫瓶),179,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9081628&Area=search&mdiv=403&oid=1_14&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1693086678/goodsimg/0009/081/628/9081628_OR_m.webp,11.211655266970327
sharp 夏普 30公升aiot智慧連網水波爐(星燦銀) axxw10ts,44900,https://24h.pchome.com.tw/prod/DMBJ02-A900GBUU0,https://img.pchome.com.tw/cs/items/DMBJ02A900GBUU0/000001_1684201046.jpg?width=320,【sharp 夏普】30公升水波爐aiot星燦銀(axxw10ts),"45,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11462209&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1723093271/goodsimg/0011/462/209/11462209_OR_m.webp,9.768455887502984
sharp 夏普 30公升aiot智慧連網水波爐(星礦棕) axxw10tt,44900,https://24h.pchome.com.tw/prod/DMBJ02-A900GBUU7,https://img.pchome.com.tw/cs/items/DMBJ02A900GBUU7/000001_1684201293.jpg?width=320,【sharp 夏普】30公升水波爐aiot星礦棕(axxw10tt),"45,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11462211&Area=search&mdiv=403&oid=1_13&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i1.momoshop.com.tw/1692478234/goodsimg/0011/462/211/11462211_OR_m.webp,9.768455887502984
sharp 夏普 30公升aiot智慧連網水波爐(寶石紅) axxw10tr,44900,https://24h.pchome.com.tw/prod/DMBJ02-A900GBUS8,https://img.pchome.com.tw/cs/items/DMBJ02A900GBUS8/000001_1684200808.jpg?width=320,【sharp 夏普】30公升水波爐aiot寶石紅(axxw10tr),"45,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11462210&Area=search&mdiv=403&oid=1_4&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i3.momoshop.com.tw/1692478257/goodsimg/0011/462/210/11462210_OR_m.webp,9.436292143083614
sharp 夏普 axxw10t 30公升 aiot智慧連網水波爐,44900,https://24h.pchome.com.tw/prod/DMBM0G-A900G41CW,https://img.pchome.com.tw/cs/items/DMBM0GA900G41CW/000001_1720602007.jpg?width=320,【sharp 夏普】30公升水波爐aiot(axxw10t),"42,888",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13215082&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i2.momoshop.com.tw/1725426071/goodsimg/0013/215/082/13215082_OR_m.webp,8.326225503369185
sharp 夏普 healsio 30l 旗艦系列aiot智慧連網水波爐axxw10t 3色,42888,https://24h.pchome.com.tw/prod/DMBJ02-1900HROC5,https://img.pchome.com.tw/cs/items/DMBJ021900HROC5/000001_1724918834.jpg?width=320,【sharp 夏普】30l healsio aiot智慧連網水波爐寶石紅(axxw10tr),"45,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11334065&Area=search&mdiv=403&oid=1_8&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i1.momoshop.com.tw/1722902103/goodsimg/0011/334/065/11334065_OR_m.webp,8.14956645233146
sharp 夏普 【南紡購物中心】 31l 自動料理兼烘培水波爐,23900,https://24h.pchome.com.tw/prod/DMBM0G-A900HMJ6M,https://img.pchome.com.tw/cs/items/DMBM0GA900HMJ6M/000001_1720003032.jpg?width=320,【sharp 夏普】31l 自動料理兼烘培水波爐(axxs5t w),"22,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9260813&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i1.momoshop.com.tw/1722306842/goodsimg/0009/260/813/9260813_OR_m.webp,7.0549410363625205
sharp 夏普 healsio炙燒水波爐axxp10t(r),35900,https://24h.pchome.com.tw/prod/DMBJ0L-A900DYD3D,https://img.pchome.com.tw/cs/items/DMBJ0LA900DYD3D/000001_1715071816.jpg?width=320,【sharp 夏普】30l healsio炙燒水波爐番茄紅(axxp10t),"32,800",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9792008&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1725608437/goodsimg/0009/792/008/9792008_OR_m.webp,6.305700229367217
sharp 夏普 healsio炙燒水波爐axxp10t(w),35900,https://24h.pchome.com.tw/prod/DMBJ0L-A900DYD89,https://img.pchome.com.tw/cs/items/DMBJ0LA900DYD89/000001_1717727055.jpg?width=320,【sharp 夏普】30l healsio炙燒水波爐番茄紅(axxp10t),"32,800",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9792008&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1725608437/goodsimg/0009/792/008/9792008_OR_m.webp,6.305700229367217
sharp 夏普 healsio炙燒水波爐axxp10t,32900,https://24h.pchome.com.tw/prod/DMBJ8T-A900HL4NR,https://img.pchome.com.tw/cs/items/DMBJ8TA900HL4NR/000001_1727085735.jpg?width=320,【sharp 夏普】30l healsio炙燒水波爐番茄紅(axxp10t),"32,800",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9792008&Area=search&mdiv=403&oid=1_6&cid=index&kw=%E6%B0%B4%E6%B3%A2%E7%88%90,https://i4.momoshop.com.tw/1725608437/goodsimg/0009/792/008/9792008_OR_m.webp,6.305700229367217
