PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
irocks 艾芮克 多媒體功能快捷鍵irocks k100rp無線靜音鍵盤滑鼠組白色,899,https://24h.pchome.com.tw/prod/DCAHGY-A900H2EC3,https://img.pchome.com.tw/cs/items/DCAHGYA900H2EC3/000001_1704447783.jpg?width=320,【irocks】k100rp無線靜音鍵盤滑鼠組白色,990,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12325363&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i4.momoshop.com.tw/1704963866/goodsimg/0012/325/363/12325363_OR_m.webp,12.367587022071232
蠟筆小新三模無線藍芽鍵盤滑鼠組 蠟筆小新 三模無線藍芽鍵盤 鍵盤滑鼠組 無線鍵盤 無線滑鼠 一鍵多工,2499,https://24h.pchome.com.tw/prod/DECU6P-B900HRH17,https://img.pchome.com.tw/cs/items/DECU6PB900HRH17/000001_1724750925.jpg?width=320,blkb2 靜音無線藍芽鍵盤滑鼠組,699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10416981&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i1.momoshop.com.tw/1692303037/goodsimg/0010/416/981/10416981_OR_m.webp,10.954819035772244
aibo km10 超薄型文青風 2.4g無線鍵盤滑鼠組黑色,699,https://24h.pchome.com.tw/prod/DCAH11-A9009Y9YR,https://img.pchome.com.tw/cs/items/DCAH11A9009Y9YR/000001_1663293189.jpg?width=320,【aibo】km10 超薄型文青風 2.4g無線鍵盤滑鼠組,599,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6590661&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i1.momoshop.com.tw/1692723161/goodsimg/0006/590/661/6590661_OR_m.webp,10.213336206053715
irocks 艾芮克 多媒體功能快捷鍵irocks k100rp無線靜音鍵盤滑鼠組黑色,899,https://24h.pchome.com.tw/prod/DCAHGY-A900H3DHL,https://img.pchome.com.tw/cs/items/DCAHGYA900H3DHL/000001_1705563124.jpg?width=320,【irocks】k100rp無線靜音鍵盤滑鼠組白色,990,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12325363&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i4.momoshop.com.tw/1704963866/goodsimg/0012/325/363/12325363_OR_m.webp,10.128661649607857
rapoo 雷柏 【南紡購物中心】   9300m 無線刀鋒式超薄 三模 鍵盤滑鼠組 ,1290,https://24h.pchome.com.tw/prod/DSBC41-A900FS63Q,https://img.pchome.com.tw/cs/items/DSBC41A900FS63Q/000001_1669279397.jpg?width=320,【rapoo 雷柏】9300m 無線刀鋒式超薄三模鍵盤滑鼠組(白),"1,290",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12056625&Area=search&mdiv=403&oid=1_17&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i2.momoshop.com.tw/1699002131/goodsimg/0012/056/625/12056625_OR_m.webp,10.085639186105169
【irocks】k01rp 2.4g無線鍵盤滑鼠組銀色,1490,https://24h.pchome.com.tw/prod/QABF0Z-A900A4ED4,https://img.pchome.com.tw/cs/items/QABF0ZA900A4ED4/000001_1726709535.jpg?width=320,【irocks】k01rp 2.4g無線鍵盤滑鼠組銀色,"1,490",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6187914&Area=search&mdiv=403&oid=1_19&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i2.momoshop.com.tw/1692635610/goodsimg/0006/187/914/6187914_OR_m.webp,9.176922945763069
irocks 艾芮克 專業剪刀腳設計 k01rp 2.4g無線鍵盤滑鼠組銀色,1490,https://24h.pchome.com.tw/prod/DCAH9H-A9009IZGX,https://img.pchome.com.tw/cs/items/DCAH9HA9009IZGX/000001_1697599973.jpg?width=320,【irocks】k01rp 2.4g無線鍵盤滑鼠組銀色,"1,490",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6187914&Area=search&mdiv=403&oid=1_19&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i2.momoshop.com.tw/1692635610/goodsimg/0006/187/914/6187914_OR_m.webp,9.176922945763069
peanuts史努比無線鍵盤滑鼠組 正版授權 snoopy 無線鍵盤滑鼠組,1580,https://24h.pchome.com.tw/prod/DECU6P-B900HDUIB,https://img.pchome.com.tw/cs/items/DECU6PB900HDUIB/000001_1712907633.jpg?width=320,【norns】peanuts史努比無線鍵盤滑鼠組(snoopy 無線鍵盤滑鼠組),"1,580",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12771530&Area=search&mdiv=403&oid=1_12&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i1.momoshop.com.tw/1726808522/goodsimg/0012/771/530/12771530_OR_m.webp,9.051387379991365
polywell 寶利威爾 無線鍵盤滑鼠組 2.4ghz 黑色,499,https://24h.pchome.com.tw/prod/DCAGXI-A900GXJKC,https://img.pchome.com.tw/cs/items/DCAGXIA900GXJKC/000001_1700465964.jpg?width=320,【polywell】無線鍵盤滑鼠組 2.4ghz /黑色,499,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12157300&Area=search&mdiv=403&oid=1_11&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i4.momoshop.com.tw/1701334965/goodsimg/0012/157/300/12157300_OR_m.webp,8.991883733344771
logitech 羅技 mk240 nano無線鍵鼠組 黑色,749,https://24h.pchome.com.tw/prod/QABF0Z-A9008V5JJ,https://img.pchome.com.tw/cs/items/QABF0ZA9008V5JJ/000001_1726702816.jpg?width=320,【logitech 羅技】mk240 nano 無線鍵鼠組,749,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=4231100&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E7%84%A1%E7%B7%9A%E9%8D%B5%E7%9B%A4%E6%BB%91%E9%BC%A0%E7%B5%84,https://i4.momoshop.com.tw/1715752435/goodsimg/0004/231/100/4231100_OR_m.webp,8.745667626409576
