PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
etq usa 2000w 變頻數碼發電機 ni2000i(變頻+4行程+低噪音),19999,https://24h.pchome.com.tw/prod/QCAP8N-A900APLKJ,https://img.pchome.com.tw/cs/items/QCAP8NA900APLKJ/000001_1627265096.jpg?width=320,【etq usa】超輕量2000w數碼發電機ni2000i(變頻+4行程+低噪音),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12500879&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i4.momoshop.com.tw/1706681492/goodsimg/0012/500/879/12500879_OR_m.webp,17.144807085731795
etq usa 3600w拉桿式汽油發電機(2件組) tg32p31,40449,https://24h.pchome.com.tw/prod/DQBE53-A900GC0V3,https://img.pchome.com.tw/cs/items/DQBE53A900GC0V3/000001_1684246367.jpg?width=320,【etq usa】3600w拉桿式汽油發電機(tg32p31),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6262343&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692716416/goodsimg/0006/262/343/6262343_OR_m.webp,15.248858011530515
"kotsuru 【日本】8馬赫 攜帶式戶外行動電源 1000w超大功率儲能電瓶 台灣製造/服務最快速(含ai偵測)(購買請認明正版8馬赫,謝絕仿冒)",45900,https://24h.pchome.com.tw/prod/DEBQ7S-A900BUTEH,https://img.pchome.com.tw/cs/items/DEBQ7SA900BUTEH/000001_1726711345.jpg?width=320,【kotsuru】8馬赫 攜帶式戶外行動電源 1000w超大功率儲能電瓶 快速完整保固服務體系(無聲發電含ai偵測系統),"45,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10855160&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i1.momoshop.com.tw/1700013737/goodsimg/0010/855/160/10855160_OR_m.webp,14.917513598439722
"kotsuru 【日本】8馬赫 攜帶式戶外行動電源 1000w超大功率儲能電瓶 台灣製造/服務最快速(含ai偵測) (購買請認明正版8馬赫,謝絕仿冒)",45900,https://24h.pchome.com.tw/prod/DQBE2U-A900GIAG3,https://img.pchome.com.tw/cs/items/DQBE2UA900GIAG3/000001_1722925996.jpg?width=320,【kotsuru】8馬赫 攜帶式戶外行動電源 1000w超大功率儲能電瓶 快速完整保固服務體系(無聲發電含ai偵測系統),"45,900",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10855160&Area=search&mdiv=403&oid=1_30&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i1.momoshop.com.tw/1700013737/goodsimg/0010/855/160/10855160_OR_m.webp,14.917513598439722
麻新電子 sr4810 48v 10a自備電源發電機用(全自動充電器 台灣製造 一年保固),14100,https://24h.pchome.com.tw/prod/DXAA8H-A900GZ73E,https://img.pchome.com.tw/cs/items/DXAA8HA900GZ73E/000001_1701854777.jpg?width=320,【麻新電子】sr4810 48v 10a自備電源發電機用(全自動充電器 台灣製造 一年保固),"14,100",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12192782&Area=search&mdiv=403&oid=1_28&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i4.momoshop.com.tw/1702026315/goodsimg/0012/192/782/12192782_OR_m.webp,13.872332422992526
麻新電子 sr2425 24v 25a自備電源發電機用(全自動充電器 台灣製造 一年保固),11650,https://24h.pchome.com.tw/prod/DXAA8H-A900GZ6YI,https://img.pchome.com.tw/cs/items/DXAA8HA900GZ6YI/000001_1701854062.jpg?width=320,【麻新電子】sr2425 24v 25a自備電源發電機用(全自動充電器 台灣製造 一年保固),"11,650",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12192780&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1702026316/goodsimg/0012/192/780/12192780_OR_m.webp,13.722934607277072
etq usa 3600w拉桿式汽油發電機,19999,https://24h.pchome.com.tw/prod/QCAP8N-A900APK76,https://img.pchome.com.tw/cs/items/QCAP8NA900APK76/000001_1591862760.jpg?width=320,【etq usa】3600w拉桿式汽油發電機(tg32p31),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6262343&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692716416/goodsimg/0006/262/343/6262343_OR_m.webp,12.598663866533734
etq usa 3600w拉捍式汽油發電機tg32p31,21989,https://24h.pchome.com.tw/prod/DECA4P-A900FVB5F,https://img.pchome.com.tw/cs/items/DECA4PA900FVB5F/000001_1671765648.jpg?width=320,【etq usa】3600w拉桿式汽油發電機(tg32p31),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6262343&Area=search&mdiv=403&oid=1_2&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1692716416/goodsimg/0006/262/343/6262343_OR_m.webp,12.598663866533734
etq usa 2000w超輕量數碼發電機_2件組(雙倍輸出功率更強勁) ni2000i,40449,https://24h.pchome.com.tw/prod/DQBE53-A900GBYAJ,https://img.pchome.com.tw/cs/items/DQBE53A900GBYAJ/000001_1684230070.jpg?width=320,【etq usa】超輕量2000w數碼發電機ni2000i(變頻+4行程+低噪音),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12500879&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i4.momoshop.com.tw/1706681492/goodsimg/0012/500/879/12500879_OR_m.webp,12.47397882158658
etq usa 2000w超輕量數碼發電機 ni2000i,21989,https://24h.pchome.com.tw/prod/DECA4P-A900FVB5B,https://img.pchome.com.tw/cs/items/DECA4PA900FVB5B/000001_1671765599.jpg?width=320,【etq usa】超輕量2000w數碼發電機ni2000i(變頻+4行程+低噪音),"21,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12500879&Area=search&mdiv=403&oid=1_1&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i4.momoshop.com.tw/1706681492/goodsimg/0012/500/879/12500879_OR_m.webp,12.47397882158658
takano 8000w汽油發電機(含電啟動) eta8000e,37249,https://24h.pchome.com.tw/prod/DECAAV-A900FLWBZ,https://img.pchome.com.tw/cs/items/DECAAVA900FLWBZ/000001_1664359806.jpg?width=320,【takano 高野】8000w汽油發電機(eta8000e),"38,800",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9613730&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i1.momoshop.com.tw/1701334845/goodsimg/0009/613/730/9613730_OR_m.webp,10.910279486355755
麻新電子 sr2420 24v 20a自備電源發電機用(全自動充電器 台灣製造 一年保固),10050,https://24h.pchome.com.tw/prod/DXAA8H-A900GZ4PZ,https://img.pchome.com.tw/cs/items/DXAA8HA900GZ4PZ/000001_1701828890.jpg?width=320,【麻新電子】sr1220 12v 20a自備電源發電機用(全自動充電器 台灣製造 一年保固),"7,600",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12179751&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E7%99%BC%E9%9B%BB%E6%A9%9F,https://i2.momoshop.com.tw/1701853535/goodsimg/0012/179/751/12179751_OR_m.webp,10.481474355214523
