PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
idmix mr charger ch05pro10000mah mfi旅充式行動電源(pd20w/qc18w快充版)藍,1480,https://24h.pchome.com.tw/prod/DYAO44-A900FQZND,https://img.pchome.com.tw/cs/items/DYAO44A900FQZND/000001_1703037672.jpg?width=320,【idmix】mr charger ch05pro10000mah mfi旅充式行動電源(pd20w高效快充版),"1,280",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10769461&Area=search&mdiv=403&oid=4_8&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i3.momoshop.com.tw/1696578748/goodsimg/0010/769/461/10769461_OR_m.webp,33.39507049656239
cheero 阿愣 pocheri 迷你 danboard 10000mah pd/pps快充行動電源,1680,https://24h.pchome.com.tw/prod/DYAO44-A900HHCI9,https://img.pchome.com.tw/cs/items/DYAO44A900HHCI9/000001_1721101307.jpg?width=320,【cheero】pocheri 迷你阿愣 danboard 10000mah pd/pps快充行動電源,"1,680",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12729241&Area=search&mdiv=403&oid=2_25&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1724827189/goodsimg/0012/729/241/12729241_OR_m.webp,28.555859739097045
adata 威剛 數位顯示電量20000mah 3孔輸出 快充行動電源 p20000qcd,799,https://24h.pchome.com.tw/prod/DQBE2M-A900H2LDJ,https://img.pchome.com.tw/cs/items/DQBE2MA900H2LDJ/000001_1704786568.jpg?width=320,【adata 威剛】數位顯示電量20000mah 3孔輸出 快充行動電源(p20000qcd),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12316732&Area=search&mdiv=403&oid=2_26&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i2.momoshop.com.tw/1704877526/goodsimg/0012/316/732/12316732_OR_m.webp,25.137049988442968
zmi pd qc usbc 雙向快充 mini 行動電源 10000mah 30w qb818,990,https://24h.pchome.com.tw/prod/DYAO44-A900BMQT9,https://img.pchome.com.tw/cs/items/DYAO44A900BMQT9/000001_1719732634.jpg?width=320,【zmi】qb818 10000mah 30w pd qc 雙向快充mini行動電源,841,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9192067&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i2.momoshop.com.tw/1722661307/goodsimg/0009/192/067/9192067_OR_m.webp,24.80030207933949
philips 飛利浦 pd/qc 3.0快充 pd 10000mah led 顯示 pd/qc 3.0雙向快充行動電源 dlp1813/96,699,https://24h.pchome.com.tw/prod/DYAO44-A900FF2Z3,https://img.pchome.com.tw/cs/items/DYAO44A900FF2Z3/000001_1661224652.jpg?width=320,【philips 飛利浦】pd/qc 10000mah led顯示 typec行動電源(dlp1813),699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10825591&Area=search&mdiv=403&oid=3_16&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1712898425/goodsimg/0010/825/591/10825591_OR_m.webp,24.49815442739572
samsung 三星 【南紡購物中心】 外出好夥伴ebp3400 原廠 typec 25w 雙向閃電快充行動電源 10000mah,618,https://24h.pchome.com.tw/prod/DSBC1X-A900GL4F4,https://img.pchome.com.tw/cs/items/DSBC1XA900GL4F4/000001_1724160098.jpg?width=320,【samsung 三星】原廠 10000mah 25w type c雙向閃充行動電源(ebp3400),675,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11148083&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1723513353/goodsimg/0011/148/083/11148083_OR_m.webp,23.48579273263424
samsung 三星 ebp3400 原廠 typec 25w 雙向閃電快充行動電源 10000mah 聯強公司貨,660,https://24h.pchome.com.tw/prod/DYAF8D-A900G4RYE,https://img.pchome.com.tw/cs/items/DYAF8DA900G4RYE/000001_1678775633.jpg?width=320,【samsung 三星】原廠 10000mah 25w type c雙向閃充行動電源(ebp3400),675,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11148083&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1723513353/goodsimg/0011/148/083/11148083_OR_m.webp,23.48579273263424
"samsung 三星 雙向閃充行動電源 ( 10,000mah, 25w, type c )ebp3400 【米白】",699,https://24h.pchome.com.tw/prod/DYAO27-A900G28DY,https://img.pchome.com.tw/cs/items/DYAO27A900G28DY/000001_1676877732.jpg?width=320,【samsung 三星】原廠 10000mah 25w type c雙向閃充行動電源(ebp3400),675,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11148083&Area=search&mdiv=403&oid=1_10&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1723513353/goodsimg/0011/148/083/11148083_OR_m.webp,23.08532283290602
adata 威剛 p20000qcd 數位顯示電量20000mah 快充行動電源 (藍色),799,https://24h.pchome.com.tw/prod/DYAO8Z-A900GHTZC,https://img.pchome.com.tw/cs/items/DYAO8ZA900GHTZC/000001_1693533721.jpg?width=320,【adata 威剛】數位顯示電量20000mah 3孔輸出 快充行動電源(p20000qcd),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12316732&Area=search&mdiv=403&oid=2_26&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i2.momoshop.com.tw/1704877526/goodsimg/0012/316/732/12316732_OR_m.webp,22.61935278023837
adata 威剛 p20000qcd 數位顯示電量20000mah 快充行動電源 (黑色),799,https://24h.pchome.com.tw/prod/DYAO8Z-A900GHTYY,https://img.pchome.com.tw/cs/items/DYAO8ZA900GHTYY/000001_1693533668.jpg?width=320,【adata 威剛】數位顯示電量20000mah 3孔輸出 快充行動電源(p20000qcd),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12316732&Area=search&mdiv=403&oid=2_26&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i2.momoshop.com.tw/1704877526/goodsimg/0012/316/732/12316732_OR_m.webp,22.61935278023837
adata 威剛 p20000qcd 數位顯示電量20000mah 快充行動電源 (白色),849,https://24h.pchome.com.tw/prod/DYAO8Z-A900GHTZ6,https://img.pchome.com.tw/cs/items/DYAO8ZA900GHTZ6/000001_1693533693.jpg?width=320,【adata 威剛】數位顯示電量20000mah 3孔輸出 快充行動電源(p20000qcd),799,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12316732&Area=search&mdiv=403&oid=2_26&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i2.momoshop.com.tw/1704877526/goodsimg/0012/316/732/12316732_OR_m.webp,22.61935278023837
小米有品 | mimax 便攜式行動電源 w17含支架 10000mah magsafe,1390,https://24h.pchome.com.tw/prod/DYBB1E-A900HHSSX,https://img.pchome.com.tw/cs/items/DYBB1EA900HHSSX/000001_1722319363.jpg?width=320,【小米有品】w17 10000mah 18w 單孔輸出 米覓 mimax 折疊磁吸行動電源(magsafe),"1,490",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12791474&Area=search&mdiv=403&oid=1_27&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1716872687/goodsimg/0012/791/474/12791474_OR_m.webp,21.35509637958796
onair 金屬散熱 超薄鋁合金 magsafe快充行動電源 10000mah,1190,https://24h.pchome.com.tw/prod/DCABNB-A900HIFLG,https://img.pchome.com.tw/cs/items/DCABNBA900HIFLG/000001_1716777572.jpg?width=320,【onair】q9 金屬散熱 5000mah magsafe快充行動電源(超薄鋁合金/pd快充/數位顯示/磁吸充電),841,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12937390&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1718254855/goodsimg/0012/937/390/12937390_OR_m.webp,20.635665994905832
philips 飛利浦 pd 10000mah led 顯示 pd/qc 3.0雙向快充行動電源 dlp1813/96*2,1325,https://24h.pchome.com.tw/prod/DMACAL-A900GD0GO,https://img.pchome.com.tw/cs/items/DMACALA900GD0GO/000001_1684997502.jpg?width=320,【philips 飛利浦】pd/qc 10000mah led顯示 typec行動電源(dlp1813),699,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10825591&Area=search&mdiv=403&oid=3_16&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i4.momoshop.com.tw/1712898425/goodsimg/0010/825/591/10825591_OR_m.webp,20.475029196604993
小米有品 | mimax 摺疊行動電源 5000mah黑/白 15w 單孔輸出,690,https://24h.pchome.com.tw/prod/DYBB1E-A900HIGMV,https://img.pchome.com.tw/cs/items/DYBB1EA900HIGMV/000001_1716798827.jpg?width=320,【小米有品】w17 10000mah 18w 單孔輸出 米覓 mimax 折疊磁吸行動電源(magsafe),"1,490",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12791474&Area=search&mdiv=403&oid=1_27&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1716872687/goodsimg/0012/791/474/12791474_OR_m.webp,20.012070897506433
hang 13000mah輕巧大容量 pd+qc4.0 3a雙向快充 行動電源 最大輸出20.5w,850,https://24h.pchome.com.tw/prod/DYAO44-A900APPXR,https://img.pchome.com.tw/cs/items/DYAO44A900APPXR/000001_1592183601.jpg?width=320,【hang】40000全兼容快速閃充 pd+qc4.0 智能數顯雙向快充行動電源 最大輸出20.5w,"1,351",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9318678&Area=search&mdiv=403&oid=3_30&cid=index&kw=%E8%A1%8C%E5%8B%95%E9%9B%BB%E6%BA%90,https://i1.momoshop.com.tw/1693074025/goodsimg/0009/318/678/9318678_OR_m.webp,20.009695033505626
