PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
under armour under armour 安德瑪 慢跑鞋 charged pursuit 3 男鞋 藍 白 運動鞋 ua 3024878401,1673,https://24h.pchome.com.tw/prod/DXAX7Z-A900HRFAU,https://img.pchome.com.tw/cs/items/DXAX7ZA900HRFAU/000001_1724729562.jpg?width=320,【under armour】ua 運動鞋 慢跑鞋 休閒鞋 charged pursuit 3(3024878100&3024889001),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354022&Area=search&mdiv=403&oid=2_13&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1705643001/goodsimg/0012/354/022/12354022_OR_m.webp,27.658405780709273
under armour ua 男女款 charged pursuit 3 慢跑鞋 運動鞋,1872,https://24h.pchome.com.tw/prod/DXAX80-A900HJFC9,https://img.pchome.com.tw/cs/items/DXAX80A900HJFC9/000001_1727065547.jpg?width=320,【under armour】ua 運動鞋 慢跑鞋 休閒鞋 charged pursuit 3(3024878100&3024889001),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354022&Area=search&mdiv=403&oid=2_13&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1705643001/goodsimg/0012/354/022/12354022_OR_m.webp,20.690974775640957
under armour 安德瑪 慢跑鞋 charged vantage 2 男鞋 深灰 黃 支撐 路跑 經典 運動鞋 ua 3024873102,1762,https://24h.pchome.com.tw/prod/DXAX7Z-A900H6XM1,https://img.pchome.com.tw/cs/items/DXAX7ZA900H6XM1/000001_1707980473.jpg?width=320,【under armour】ua 運動鞋 慢跑鞋 休閒鞋 charged pursuit 3(3024878100&3024889001),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354022&Area=search&mdiv=403&oid=2_13&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1705643001/goodsimg/0012/354/022/12354022_OR_m.webp,16.298812853433102
under armour 慢跑鞋 charged impulse 3 男鞋 灰 藍 緩震 運動鞋 路跑 ua 3025421107,1762,https://24h.pchome.com.tw/prod/DXAX7Z-A900G4Y5B,https://img.pchome.com.tw/cs/items/DXAX7ZA900G4Y5B/000001_1678867339.jpg?width=320,【under armour】ua 運動鞋 慢跑鞋 休閒鞋 charged pursuit 3(3024878100&3024889001),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354022&Area=search&mdiv=403&oid=2_13&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1705643001/goodsimg/0012/354/022/12354022_OR_m.webp,16.298812853433102
asics 亞瑟士 patriot 13 (2e )男女中性款 寬楦 慢跑鞋 運動鞋(多款任選),1399,https://24h.pchome.com.tw/prod/DXBE3D-A900HIIMQ,https://img.pchome.com.tw/cs/items/DXBE3DA900HIIMQ/000001_1722221975.jpg?width=320,【asics 亞瑟士】jolt 4 男女中性 一般楦 寬楦 超寬楦 跑鞋 運動鞋(多款任選),"1,599",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12564755&Area=search&mdiv=403&oid=2_5&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i3.momoshop.com.tw/1726895274/goodsimg/0012/564/755/12564755_OR_m.webp,16.041430789240746
adidas 愛迪達 adidas 愛迪達 慢跑鞋 galaxy 5 男鞋 黑 白 透氣 基本款 運動鞋 fw5717,1680,https://24h.pchome.com.tw/prod/DXAX0T-A900HURF6,https://img.pchome.com.tw/cs/items/DXAX0TA900HURF6/000001_1727070937.jpg?width=320,【adidas 愛迪達】運動鞋 慢跑鞋 女鞋 galaxy 6 w(ie8150),"1,359",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12480543&Area=search&mdiv=403&oid=3_22&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i3.momoshop.com.tw/1706173628/goodsimg/0012/480/543/12480543_OR_m.webp,15.668998662962524
adidas 愛迪達 adidas 愛迪達 慢跑鞋 galaxy 7 m 男鞋 黑 紅 緩衝 回彈 運動鞋 id8755,2280,https://24h.pchome.com.tw/prod/DXAX0T-A900HSO0J,https://img.pchome.com.tw/cs/items/DXAX0TA900HSO0J/000001_1725942854.jpg?width=320,【adidas 愛迪達】運動鞋 慢跑鞋 女鞋 galaxy 6 w(ie8150),"1,359",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12480543&Area=search&mdiv=403&oid=3_22&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i3.momoshop.com.tw/1706173628/goodsimg/0012/480/543/12480543_OR_m.webp,15.668998662962524
mizuno 美津濃 慢跑鞋 maximizer 26 寬楦 男鞋 灰 黑 運動鞋 緩震 入門款 k1ga240007,1228,https://24h.pchome.com.tw/prod/DXAX7V-A900GP82P,https://img.pchome.com.tw/cs/items/DXAX7VA900GP82P/000001_1696219661.jpg?width=320,【mizuno 美津濃】esperunzer/maximizer 男女鞋 慢跑鞋(k1gc234402 k1ga240007),"1,290",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=13015746&Area=search&mdiv=403&oid=1_15&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i2.momoshop.com.tw/1720760773/goodsimg/0013/015/746/13015746_OR_m.webp,15.472418329117218
under armour 安德瑪 野跑鞋 charged maven trail 男鞋 深灰 綠 緩震 戶外 運動鞋 ua 3026136100,2118,https://24h.pchome.com.tw/prod/DXAX7Z-A900GXNDG,https://img.pchome.com.tw/cs/items/DXAX7ZA900GXNDG/000001_1700549282.jpg?width=320,【under armour】ua 運動鞋 慢跑鞋 休閒鞋 charged pursuit 3(3024878100&3024889001),"1,499",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12354022&Area=search&mdiv=403&oid=2_13&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i4.momoshop.com.tw/1705643001/goodsimg/0012/354/022/12354022_OR_m.webp,15.298335706112068
nike 耐吉 慢跑鞋 flex experience rn 11 nn 4e 男鞋 黑 超寬楦 路跑 運動鞋 dh5753001,1228,https://24h.pchome.com.tw/prod/DXAX28-A900HMHJ9,https://img.pchome.com.tw/cs/items/DXAX28A900HMHJ9/000001_1719980131.jpg?width=320,【nike 耐吉】慢跑鞋 女鞋 運動鞋 緩震 w flex experience rn 12 淡藍 dv0746101,"1,139",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12342645&Area=search&mdiv=403&oid=4_16&cid=index&kw=%E9%81%8B%E5%8B%95%E9%9E%8B,https://i1.momoshop.com.tw/1705026787/goodsimg/0012/342/645/12342645_OR_m.webp,14.602585774677939
