PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
【南紡購物中心】 【maylink美菱】瞬熱式碳素電暖器/暖氣機/電暖扇(mld210ty),1580,https://24h.pchome.com.tw/prod/DMBM0Q-A900GYQ9B,https://img.pchome.com.tw/cs/items/DMBM0QA900GYQ9B/000001_1701405536.jpg?width=320,【maylink美菱】瞬熱式碳素電暖器/暖氣機/電暖扇(mld210ty),"1,480",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12272391&Area=search&mdiv=403&oid=2_6&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i1.momoshop.com.tw/1703840508/goodsimg/0012/272/391/12272391_OR_m.webp,22.120192189957734
songen 松井 【南紡購物中心】 3d擬真火焰ptc陶瓷立式電暖爐/暖氣機/電暖器(sg2701ptc),2580,https://24h.pchome.com.tw/prod/DMBM0Q-A900GYQ99,https://img.pchome.com.tw/cs/items/DMBM0QA900GYQ99/000001_1701405710.jpg?width=320,【songen 松井】3d擬真火焰ptc陶瓷立式電暖爐/暖氣機/電暖器(sg2701ptc),"2,480",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12272388&Area=search&mdiv=403&oid=2_29&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i4.momoshop.com.tw/1703840508/goodsimg/0012/272/388/12272388_OR_m.webp,21.196486868913823
sampo 聲寶 浴室/臥房兩用抑菌電暖器 hxfk10r,2999,https://24h.pchome.com.tw/prod/DMAZ0N-A900BW6B5,https://img.pchome.com.tw/cs/items/DMAZ0NA900BW6B5/000001_1675139975.jpg?width=320,【sampo 聲寶】浴室/臥房兩用抑菌電暖器(hxfk10r),"2,999",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9458856&Area=search&mdiv=403&oid=2_9&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i1.momoshop.com.tw/1704964203/goodsimg/0009/458/856/9458856_OR_m.webp,21.172816002670864
kolin 歌林 陶瓷電暖器 kfhsd2008 電暖爐 電暖扇 暖風機 暖氣 暖爐 暖氣機 暖風扇,880,https://24h.pchome.com.tw/prod/DMAZ0E-A900BWGIY,https://img.pchome.com.tw/cs/items/DMAZ0EA900BWGIY/000001_1634801962.jpg?width=320,【kolin 歌林】陶瓷電暖器 kfhsd2008(風機 暖氣 暖爐 電暖爐 暖氣機 暖風扇 暖手寶),899,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12356831&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i1.momoshop.com.tw/1705314374/goodsimg/0012/356/831/12356831_OR_m.webp,21.045253211832335
songen 松井 【日本】3d擬真火焰陶瓷立式電暖器/暖氣機/電暖爐(sg817np),2780,https://24h.pchome.com.tw/prod/DMAZ6L-A900FORK2,https://img.pchome.com.tw/cs/items/DMAZ6LA900FORK2/000001_1666756815.jpg?width=320,【songen 松井】3d擬真火焰陶瓷立式電暖器/暖氣機/電暖爐(sg817np),"2,780",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=10849454&Area=search&mdiv=403&oid=1_25&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i3.momoshop.com.tw/1692381014/goodsimg/0010/849/454/10849454_OR_m.webp,20.469611007456148
sampo 聲寶 10吋桌上型紅外線電暖器 hxfd10f,1288,https://24h.pchome.com.tw/prod/DMAZ3M-A900BVOIW,https://img.pchome.com.tw/cs/items/DMAZ3MA900BVOIW/000001_1675139893.jpg?width=320,【sampo 聲寶】10吋桌上型紅外線電暖器(hxfd10f),"1,288",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=9460546&Area=search&mdiv=403&oid=3_6&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i2.momoshop.com.tw/1704964011/goodsimg/0009/460/546/9460546_OR_m.webp,19.744097379736925
teco 東元 【南紡購物中心】 3d擬真火焰ptc陶瓷立式電暖爐/暖氣機/電暖器(xyfyn3002cbb),2980,https://24h.pchome.com.tw/prod/DMBM0Q-A900GYQBN,https://img.pchome.com.tw/cs/items/DMBM0QA900GYQBN/000001_1701406818.jpg?width=320,【teco 東元】3d擬真火焰ptc陶瓷電暖器/暖氣機(xyfyn4001cb),"1,280",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12167812&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i4.momoshop.com.tw/1701411032/goodsimg/0012/167/812/12167812_OR_m.webp,18.690819753358408
teco 東元 【南紡購物中心】 3d擬真火焰ptc陶瓷電暖器/暖氣機(xyfyn4001cbw),1380,https://24h.pchome.com.tw/prod/DMBM0Q-A900GYQ93,https://img.pchome.com.tw/cs/items/DMBM0QA900GYQ93/000001_1701405453.jpg?width=320,【teco 東元】3d擬真火焰ptc陶瓷電暖器/暖氣機(xyfyn4001cb),"1,280",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12167812&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i4.momoshop.com.tw/1701411032/goodsimg/0012/167/812/12167812_OR_m.webp,18.690819753358408
teco 東元 【南紡購物中心】 3d擬真火焰ptc陶瓷電暖器/暖氣機(xyfyn4001cbb),1380,https://24h.pchome.com.tw/prod/DMBM0Q-A900GYQBS,https://img.pchome.com.tw/cs/items/DMBM0QA900GYQBS/000001_1701406866.jpg?width=320,【teco 東元】3d擬真火焰ptc陶瓷電暖器/暖氣機(xyfyn4001cb),"1,280",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12167812&Area=search&mdiv=403&oid=1_26&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i4.momoshop.com.tw/1701411032/goodsimg/0012/167/812/12167812_OR_m.webp,18.690819753358408
songen 松井 日系3d擬真火焰ptc陶瓷立式電暖爐/暖氣機/電暖器(sg2801ptc加贈電暖袋),2980,https://24h.pchome.com.tw/prod/DMAZ6L-A900H2GXD,https://img.pchome.com.tw/cs/items/DMAZ6LA900H2GXD/000001_1704685916.jpg?width=320,【songen 松井】3d擬真火焰ptc陶瓷立式電暖爐/暖氣機/電暖器(sg2701ptc),"2,480",https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12272388&Area=search&mdiv=403&oid=2_29&cid=index&kw=%E9%9B%BB%E6%9A%96%E5%99%A8,https://i4.momoshop.com.tw/1703840508/goodsimg/0012/272/388/12272388_OR_m.webp,18.12782241610737
