PChome_name,PChome_price,PChome_url,PChome_pic,momo_name,momo_price,momo_url,momo_pic,score
【tommyshop】冠軍貝果系列多種口任選10入(100g/入),945,https://24h.pchome.com.tw/prod/DBAAGW-A900HITXZ,https://img.pchome.com.tw/cs/items/DBAAGWA900HITXZ/000001_1717058463.jpg?width=320,【tommyshop】冠軍貝果系列多種口味任選10入(100g/入),720,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12911895&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1717415854/goodsimg/0012/911/895/12911895_OR_m.webp,12.871438125465358
巴特里 爆漿奶油餐包(10顆/包) 3包組,439,https://24h.pchome.com.tw/prod/DBCZ9Q-A900HRXB4,https://img.pchome.com.tw/cs/items/DBCZ9QA900HRXB4/000001_1725249113.jpg?width=320,【巴特里】爆漿奶油餐包8包(奶油餐包10入裝),846,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11568365&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i1.momoshop.com.tw/1710824664/goodsimg/0011/568/365/11568365_OR_m.webp,9.096623753961737
【tommyshop】戀戀生吐司系列多種口味任選5入,973,https://24h.pchome.com.tw/prod/DBAAGW-A900HITQ2,https://img.pchome.com.tw/cs/items/DBAAGWA900HITQ2/000001_1717056469.jpg?width=320,【tommyshop】冠軍貝果系列多種口味任選10入(100g/入),720,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12911895&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1717415854/goodsimg/0012/911/895/12911895_OR_m.webp,8.82788097668848
爆漿奶油/巧克力餐包任選6包(320g/包〉,750,https://24h.pchome.com.tw/prod/DBCZ0K-A900HPP7T,https://img.pchome.com.tw/cs/items/DBCZ0KA900HPP7T/000001_1722931239.jpg?width=320,【巴特里】爆漿奶油餐包8包(奶油餐包10入裝),846,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=11568365&Area=search&mdiv=403&oid=1_24&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i1.momoshop.com.tw/1710824664/goodsimg/0011/568/365/11568365_OR_m.webp,6.5017833087697525
【tommyshop】冠軍貝果超軟q原味10入(80g/入),633,https://24h.pchome.com.tw/prod/DBAAGW-A900HITVV,https://img.pchome.com.tw/cs/items/DBAAGWA900HITVV/000001_1717057912.jpg?width=320,【tommyshop】冠軍貝果系列多種口味任選10入(100g/入),720,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12911895&Area=search&mdiv=403&oid=1_21&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1717415854/goodsimg/0012/911/895/12911895_OR_m.webp,5.400323265920664
美食村 惡魔可可拔絲牛奶麵包x5盒(65gx6入/盒),725,https://24h.pchome.com.tw/prod/DBCX3Y-A900H3A3H,https://img.pchome.com.tw/cs/items/DBCX3YA900H3A3H/000001_1705479741.jpg?width=320,【彰化美食村】爆漿餐包(10入x5盒),494,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=2009335&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i3.momoshop.com.tw/1692572363/goodsimg/0002/009/335/2009335_OR_m.webp,4.865501559689963
美食村 拔絲牛奶麵包x5盒(65gx6入/盒),689,https://24h.pchome.com.tw/prod/DBCX3Y-A900H39RJ,https://img.pchome.com.tw/cs/items/DBCX3YA900H39RJ/000001_1705477578.jpg?width=320,【彰化美食村】爆漿餐包(10入x5盒),494,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=2009335&Area=search&mdiv=403&oid=1_23&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i3.momoshop.com.tw/1692572363/goodsimg/0002/009/335/2009335_OR_m.webp,4.865501559689963
巴特里 爆漿原味/蒜味餐包(10顆/包)任選6包組,860,https://24h.pchome.com.tw/prod/DBCZ9Q-A900HM744,https://img.pchome.com.tw/cs/items/DBCZ9QA900HM744/000001_1720074814.jpg?width=320,【巴特里】招牌爆漿餐包任選3包(10入/包;高雄在地超夯團購),446,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6442450&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1710824537/goodsimg/0006/442/450/6442450_OR_m.webp,4.79790167191997
巴特里 爆漿原味/蒜味餐包(10顆/包)任選8包組,1040,https://24h.pchome.com.tw/prod/DBCZ9Q-A900HM77S,https://img.pchome.com.tw/cs/items/DBCZ9QA900HM77S/000001_1720074773.jpg?width=320,【巴特里】招牌爆漿餐包任選3包(10入/包;高雄在地超夯團購),446,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=6442450&Area=search&mdiv=403&oid=1_3&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i4.momoshop.com.tw/1710824537/goodsimg/0006/442/450/6442450_OR_m.webp,4.79790167191997
i3微澱粉 低糖好纖手工機能大吐司560gx1條(半條 271控糖配方 吐司 營養師),799,https://24h.pchome.com.tw/prod/DBCZ0K-A900HMLV1,https://img.pchome.com.tw/cs/items/DBCZ0KA900HMLV1/000001_1720063087.jpg?width=320,【初鹿牧場】鮮奶生吐司2顆,338,https://www.momoshop.com.tw/goods/GoodsDetail.jsp?i_code=12108621&Area=search&mdiv=403&oid=1_18&cid=index&kw=%E9%BA%B5%E5%8C%85,https://i2.momoshop.com.tw/1700125253/goodsimg/0012/108/621/12108621_OR_m.webp,4.656821296263733
